line1,line2,line3
JEANNE M BUCKLEY 5 0,X X 0 0 0,TRUSTEE/BOARD CHAIR 1 0
CRAIG WRENCH 3 0,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR 0 0
MARGARET LODISE 3 0,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR 0 0
SAMUEL GLICK 3 0,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR 0 0
MARK H FUKUNAGA 3 0,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR 0 0
JOEL A FEUER 3 0,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR 0 0
PAUL F ECKSTEIN 3 0,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR 0 0
ANDREW F BARTH 3 0,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR 0 0
LIBBY G ARMINTROUT 2 0,X 0 0 0,TRUSTEE 0 0
JANET INSKEEP BENTON 2 0,X 0 0 0,TRUSTEE 0 0
PETER G SASAKI 2 0,X 0 0 0,TRUSTEE 0 0
STEPHEN B LOEB 2 0,X 0 0 0,TRUSTEE 0 0
TYSON THOMAS 2 0,X 0 0 0,TRUSTEE 0 0
W BENTON BOONE 2 0,X 0 0 0,TRUSTEE—retired 6/30/14 0 0
ALISON REMPEL BROWN 2 0,X 0 0 0,TRUSTEE 0 0
LOUISE HENRY BRYSON 2 0,X 0 0 0,TRUSTEE 0 0
BERNARD CHAN 2 0,X 0 0 0,TRUSTEE 0 0
CHRISTOPHER P DIALYNAS 2 0,X 0 0 0,TRUSTEE 0 0
A REDMOND DOMS 2 0,X 0 0 0,TRUSTEE—retired 6/30/14 0 0
SCOTT GREEN 2 0,X 0 0 0,TRUSTEE 0 0
TERRANCE G HODEL 2 0,X 0 0 0,TRUSTEE 0 0
JEAN KAPLAN 2 0,X 0 0 0,TRUSTEE 0 0
WILLIAM G KELLER 2 0,X 0 0 0,TRUSTEE 0 0
D SCOTT OLIVET 2 0,X 0 0 0,TRUSTEE 0 0
MARYLYN P PAULEY 2 0,X 0 0 0,TRUSTEE 0 0
JASON ROSENTHAL 2 0,X 0 0 0,TRUSTEE 0 0
FRANCINE SCINTO 2 0,X 0 0 0,TRUSTEE 0 0
R CARLTON SEAVER 2 0,X 0 0 0,TRUSTEE 0 0
MICHAEL S SEGAL 2 0,X 0 0 0,TRUSTEE 0 0
STEWART R SMITH 2 0,X 0 0 0,TRUSTEE 0 0
BRYAN WHITE 2 0,X 0 0 0,TRUSTEE 0 0
JENNIFER WILCOX 2 0,X 0 0 0,TRUSTEE 0 0
EILEEN WILSON—OYELARAN 2 0,X 0 0 0,TRUSTEE 0 0
MARK B WYLAND 2 0,X 0 0 0,TRUSTEE 0 0
M LYNN YONEKURA 2 0,X 0 0 0,TRUSTEE 0 0
REZA ZAFARI 2 0,X 0 0 0,TRUSTEE 0 0
LASZLO BOCK 2 0,X 0 0 0,TRUSTEE 0 0
DAVID W OXTOBY 40 0,"X X 466,488 0 96,337",PRESIDENT 1 0
PAMELA BESNARD 40 0,"X 180,625 0 47,087",VP OF ADVANCEMENT 0 0
KAREN SISSON 40 0,"X 275,160 0 46,492",VP TREASURER 0 0
MIRIAM FELDBLUM 40 0,"X 196,784 0 72,616",VP DEAN OF STUDENTS 0 0
CHRISTOPHER ALLEN 40 0,"X 234,241 0 34,150",VP DEAN OF ADMISSIONS 0 0
JANICE HUDGINGS 40 0,"X 124,204 0 65,921",DEAN OF COLLEGE 0 0
RICHARD FASS 40 0,"X 216,329 0 52,256",VP OF PLANNING OFFICE 0 0
ROBERT ROBINSON 40 0,"X 190,307 0 38,284",ASST VP OF FACILITIES 0 0
MARY LOU WOODS 40 0,"X 177,923 0 42,809",ASST VP/ASSOC TREAS 0 0
