name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) SR JOANNE BIBEAU RSM,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(2) CLAIRE FRASER BOWEN,TRUSTEE — CHAIR OF THE BOARD,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(3) PATRICK CAREY,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(4) PATRICIA M CLIFFORD,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(5) SR LAURA DELLA SANTA RSM,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(6) THOMAS DRISCOLL,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(7) GREGORY DUFOUR,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(8) JOSEPH GALLAGHER,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(9) MATTHEW D GINNETTY,TRUSTEE — VICE CHAIR OF THE BOARD,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(10) KENNETH M LEMANSKI,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(11) SISTER JOYCE MAHANEY,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(12) MATTHEW MONAGHAN,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(13) CAROL SEAVER ED D,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(14) MICHAELT SHEA,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(15) MARY ROCHE SULLIVAN,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(16) MEREDITH TIPTON PH D,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(17) SR ELLEN TURNER RSM,TRUSTEE — SECRETARY,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(18) GARRETT VANATTA,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(19) MARTIN J WHITE,TRUSTEE,2,0,0,0,010212542,161518,Saint Joseph's College of Maine
(20) DR JAMES S DLUGOS 5O,PRESIDENT,00,271710,42900,0,010212542,161518,Saint Joseph's College of Maine
(21) YVONNE M BERRY 5O,VICE PRESIDENT & CFO,00,45558,7476,0,010212542,161518,Saint Joseph's College of Maine
(22) SR KATHLEEN SULLIVAN 5O,VP MISSION INTEGRATION,00,0,0,0,010212542,161518,Saint Joseph's College of Maine
(23) MICHAEL PARDALES 5O,VP & CHIEF LEARNING OFFICER,00,72866,8621,0,010212542,161518,Saint Joseph's College of Maine
(24) JOANNE BEAN 5O,VP & CHIEF ADVANCEMENT OFFICER,00,0,0,0,010212542,161518,Saint Joseph's College of Maine
(25) KATHLEEN DAVIS,DEAN OF ADMISSIONS,50,112222,16758,0,010212542,161518,Saint Joseph's College of Maine
(26) REIS HAGERMAN 5O,DEAN OF CAMPUS LIFE,00,117056,23187,0,010212542,161518,Saint Joseph's College of Maine
(27) ROBERT HAND 5O,DIRECTOR OF MARKETING,00,100973,17515,0,010212542,161518,Saint Joseph's College of Maine
"US BANK CORPORATE TRUST SDS 12—2302 MINNEAPOLIS MN FINANCIAL SERVICES 1,759,016","NEW ENGLAND COMMUNICATIONS RIVERSIDE ST PORTLAND ME TELECOMMUNICATION 446,990",55486,467,040700467,640805,010212542,161518,Saint Joseph's College of Maine
"DEAD RIVER PO BOX SCARBOROUGH ME FUEL OIL & SERVICES 640,805","RICHARD H GOWEN MAIN ST APT SACO ME REAL ESTATE SERVICES 345,632",467,480,04103,446990,010212542,161518,Saint Joseph's College of Maine
