name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
DaVId B Payne,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
ErIk Edward Joh,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Joan C ElIot,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Karen C Eldred,ExecutIve Secretary,2,0,0,0,020222120,182634,Colby-Sawyer College
RIchard Dulude,Past Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Thomas C CsatarI,ChaIrman,2,0,0,0,020222120,182634,Colby-Sawyer College
WIllIam E Gundy,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
WIllIam P Clough III,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
ChrIstIne B Ferraro,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
George JamIeson,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
RobIn L Mead,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
WIllIam Reed,VIce ChaIrman,5,0,0,0,020222120,182634,Colby-Sawyer College
Susan C Hassett,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Susan DeBev0Ise WrIght,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Andrew S PIllsbury,Past Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Aubrey K Thomas,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Sally S VeItch,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Peter F VolanakIs,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
WIllIam J WIlson,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Pamela S BrIght,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Deborah L CoffIn,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
John S MalanowskI,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Gretchen R Massey,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Margaret V Mulley,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Jonathan J Pappalardo,Trustee,2,0,0,0,020222120,182634,Colby-Sawyer College
Todd Emmons,VP FInance/Treasurer,40,132796,0,15421,020222120,182634,Colby-Sawyer College
Thomas C GallIgan Jr,PreSIdent,40,290513,0,61366,020222120,182634,Colby-Sawyer College
Douglas AtkIns,VP AdmInIstratIon,40,138092,0,19841,020222120,182634,Colby-Sawyer College
Deborah Taylor,VP AcademIcs/Dean of Facul,40,142318,0,16529,020222120,182634,Colby-Sawyer College
DaVId SauenNeIn,VP Dean of Students,40,116136,0,5074,020222120,182634,Colby-Sawyer College
Kenneth KochIen,DIrector of InformatIon Resources,40,102552,0,5438,020222120,182634,Colby-Sawyer College
