name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) JOAN BARRY—HYDE,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(2) JAMES DAVIS,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(3) DANIEL DONAHUE,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(4) ROGER E GORDON ESQ,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(5) DIANE GORDON,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(6) KAY H HODGE ESQ,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(7) NORMAN LEVENSON,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(8) JANE LUNDQUIST,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(9) DR] KEITH MOTLEY,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(10) EMILY STAVIS,TRUSTEE,2,0,0,0,042452884,167251,Newbury College
(11) LAURIEJ WATSON,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(12) MARGARET WINSLOW,TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(13) LAWRENCE E KAPLAN,CHAIRMAN/TRUSTEE,1,0,0,0,042452884,167251,Newbury College
(14) JOYCE HANLON,VICE PRESIDENT OF FINANCE,37,154270,0,6283,042452884,167251,Newbury College
(15) JOSEPH CHILLO,"VP OF ENROLLMENT, PRESIDENT",37,150150,0,4745,042452884,167251,Newbury College
(16) CLARE MCCULLY,VICE PRESIDENT OF DEVELOPMENT,37,126150,0,10312,042452884,167251,Newbury College
(17) PAUL MARTIN,VICE PRESIDENT OF ADMINISTRATION,37,100450,0,9579,042452884,167251,Newbury College
(18) HANNAH M MCCARTHY,PRESIDENT (7/1/13 — 5/31/14),37,293308,21137,0,042452884,167251,Newbury College
"SODEXO OPERATIONS LLC PO BOX PITI'SBURG PA DINING SERVICES 1,639,720","B AND B LODGING HOUSES LLC NORTH BEACON STREET ALLSTON MA STUDENT HOUSING 1,063,534",360170,525,1498095,0,042452884,167251,Newbury College
"B AND B LODGING HOUSES LLC NORTH BEACON STREET ALLSTON MA STUDENT HOUSING 1,063,534","FIREBIRD BUILDERS LLC STANDISH STREET DUXBURY MA CONSTRUCTION 310,920",48,429,02115,821234,042452884,167251,Newbury College
