name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Nancy A Altobello,Trustee,2,0,0,0,060646623,129242,Fairfield University
Ceasar N AanIllare,Trustee,1,0,0,0,060646623,129242,Fairfield University
William LAtwell,Trustee,2,0,0,0,060646623,129242,Fairfield University
Rev John F Baldovm SJ,Trustee,1,0,0,0,060646623,129242,Fairfield University
Rev Terrence A Baum SJ,Trustee,2,0,0,0,060646623,129242,Fairfield University
Joseph R Bronson,Trustee,1,0,0,0,060646623,129242,Fairfield University
KeVIn P Cannon,Trustee,1,0,0,0,060646623,129242,Fairfield University
Carlos M Cardoso,Trustee,1,0,0,0,060646623,129242,Fairfield University
Frank] Carroll III,Trustee,2,0,0,0,060646623,129242,Fairfield University
KeVIn M Conlisk,Trustee,1,0,0,0,060646623,129242,Fairfield University
Timothy J Conway,Trustee,1,0,0,0,060646623,129242,Fairfield University
William C Crager,Trustee,1,0,0,0,060646623,129242,Fairfield University
Sheila Kearney DaVIdson,Trustee,2,0,0,0,060646623,129242,Fairfield University
Thomas A Franko,Trustee,1,0,0,0,060646623,129242,Fairfield University
PeterJ Gillen,Trustee,1,0,0,0,060646623,129242,Fairfield University
PatrICIa E Glassford,Trustee,2,0,0,0,060646623,129242,Fairfield University
Kelly Simon Hondru,Trustee,1,0,0,0,060646623,129242,Fairfield University
Brian P Hull,Trustee,2,0,0,0,060646623,129242,Fairfield University
Paul] Huston,Trustee,1,0,0,0,060646623,129242,Fairfield University
Robin Kanarek,Trustee,1,0,0,0,060646623,129242,Fairfield University
Susan Robinson King,Trustee,1,0,0,0,060646623,129242,Fairfield University
Katherine N Lapp,Trustee,2,0,0,0,060646623,129242,Fairfield University
Stephen M Lessmg,Trustee,1,0,0,0,060646623,129242,Fairfield University
Bill McIntosh,Trustee,1,0,0,0,060646623,129242,Fairfield University
Andrew J McMahon,Trustee,1,0,0,0,060646623,129242,Fairfield University
John C Meditz,Trustee,1,0,0,0,060646623,129242,Fairfield University
Elner L Morrell,Trustee,1,0,0,0,060646623,129242,Fairfield University
Most Rev George V Murry SJ,Trustee,1,0,0,0,060646623,129242,Fairfield University
GaVIn G O'Connor,Trustee,1,0,0,0,060646623,129242,Fairfield University
BiffJ O'Reilly,Trustee,2,0,0,0,060646623,129242,Fairfield University
Rev Stephen A Privett SJ,Trustee,2,0,0,0,060646623,129242,Fairfield University
Christopher C chk,Trustee,1,0,0,0,060646623,129242,Fairfield University
Rosellen W Schnurr,Trustee,1,0,0,0,060646623,129242,Fairfield University
Marianne Dolan Weber,Trustee,1,0,0,0,060646623,129242,Fairfield University
James D Wehr,Trustee,1,0,0,0,060646623,129242,Fairfield University
Rev Jeffrey P von Arx SJ,Pre5ident and Trustee,45,300000,0,79400,060646623,129242,Fairfield University
Mark C Reed,Secretary,45,261176,0,53978,060646623,129242,Fairfield University
Julie Dolan,Former Treasurer,45,162298,0,39600,060646623,129242,Fairfield University
Michael Trafecante,Treasurer (Effective May 2014),45,0,0,0,060646623,129242,Fairfield University
Rev PauIJ Fitzgerald SJ,Senior Vice Pre5ident,45,224922,0,46054,060646623,129242,Fairfield University
Dr Robbin D Crabtree,"Dean, College of Arts & SCIences",45,194961,0,36086,060646623,129242,Fairfield University
Dr Donald E Gibson,"Dean, School of Busmess",45,170712,0,43275,060646623,129242,Fairfield University
Dr Thomas C Pelleg rino,Vice Pre5ident,45,174389,0,50606,060646623,129242,Fairfield University
Dr Lynn M Babington,"Dean, School of Nursmg",45,180752,0,43100,060646623,129242,Fairfield University
Evelyn P FranCIs,Chief Information Officer,45,185187,0,46935,060646623,129242,Fairfield University
Sydney A Johnson,Head Coach—Men's Basketball,45,482073,0,20400,060646623,129242,Fairfield University
Dr Gregory P Koutmos,Professor of Finance,45,185832,0,51032,060646623,129242,Fairfield University
Joseph P Frager,Head Coach—Womens Basketball,45,184212,0,50379,060646623,129242,Fairfield University
Stephanie B Frost,Former Vice Pre5ident,45,181131,0,41357,060646623,129242,Fairfield University
