name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
ARTHUR E LANDI,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
GORDON LANDERSON PHD,SECRETARY,1,0,0,0,060646936,128744,University of Bridgeport
ROBERT L BERCHEM ESQ,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
ABRAHAM IGORDON ESQ,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
ROBERTJ MATRISCIANO,TRUSTEE DATE OF DEATH 10/5/13,1,0,0,0,060646936,128744,University of Bridgeport
PHILLIP V SANCHEZ,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
S GEORGE SANTA,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
MARK A FRIES,CO—VICE CHAIR,1,0,0,0,060646936,128744,University of Bridgeport
ERNEST C TREFZ,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
MARTIN F WOLF ESQ,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
FRANK N ZULLO ESQ,CO—CHAIR,1,0,0,0,060646936,128744,University of Bridgeport
CHANG SHIK YANG DM,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
NICHOLAS A PANUZIO,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
JOSEPH VI ORIA,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
DOUGLAS DM JOO,CO—CHAIR,1,0,0,0,060646936,128744,University of Bridgeport
FRANK IGROW III,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
PHILLIP G SOAIVAN,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
PIERRE TARDY,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
MRS HENRY B DUPONT III,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
NICHOLAS N KI'ITRIE SJD,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
NORGE W JEROME PHD,CO—VICE CHAIR,1,0,0,0,060646936,128744,University of Bridgeport
PAUL ANTINOZZI,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
THE HONORABLE MARJORIE BUESSING,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
DAVID D'ADDARIO,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
THOMAS O'HARA,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
SARA TOWE HORSFALL,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
BARBARA A JAMES,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
ARNOLD H LENA,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
CAROL RITTNER,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
LOUISE SANDBERG,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
LAMBERT C SHELL SR,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
KATHERINE J WOJCIK,TRUSTEE,1,0,0,0,060646936,128744,University of Bridgeport
NEIL A SALONEN,PRESIDENT,35,1038915,0,27032,060646936,128744,University of Bridgeport
MICHAEL D BROMLEYESQ GENERAL,COUNSEL DATE OF DEATH 10/10/13,35,219801,0,10820,060646936,128744,University of Bridgeport
SUSAN D WILLIAMS PHD,VP ADMIN/FIN,35,210787,0,14667,060646936,128744,University of Bridgeport
HANS VAN DER GIESSEN,PROVOST,35,175196,0,17134,060646936,128744,University of Bridgeport
CAROLYN R LINSEY,ASSISTANT SECRETARY,35,0,0,0,060646936,128744,University of Bridgeport
TAREK M SOBH,VP GRAD STUDIES & RESEARCH,35,345936,0,59072,060646936,128744,University of Bridgeport
MARY JANE FOSTER,VP UNIVERSITY RELATIONS,35,156806,0,11016,060646936,128744,University of Bridgeport
ALLEN COOK,DEAN EDUC & HR,35,150189,0,14980,060646936,128744,University of Bridgeport
LLOYD GIBSON,DEAN SCHOOL OF BUSINESS,35,170032,0,23856,060646936,128744,University of Bridgeport
DANIEL CERVONKA,"PROG DIR, PA PROGRAM",35,146107,0,18136,060646936,128744,University of Bridgeport
DAVID BRADY,VP HLTH SCI & DIR,35,143394,0,26031,060646936,128744,University of Bridgeport
STEPHEN HEALEY,ASSOCIATE PROVOST,35,142535,0,9822,060646936,128744,University of Bridgeport
SANDEEP MANNAVA,SENIOR DATATEL ANALYST,35,145340,0,25347,060646936,128744,University of Bridgeport
THOMAS WARD,VP INT'L & DEAN INT'L COLL,35,142419,0,22635,060646936,128744,University of Bridgeport
