name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) MOST REV MICHAEL R COTE DD,CHAIRMAN,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(2) MR JOHN F WOLTER ESQ,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(3) MR ROBERT O'HARA ESQ,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(4) REV BRADLEY PIERCE MSA,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(5) MR PETER KELLY ESQ,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(6) DR MARIE HILLIARD,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(7) MR JEAN—PIERRE VAN ROOY,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(8) MR THOMAS GROARK ESQ,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(9) VERY REV ISAAC MARTINEZ MSA,CHAIRMAN,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(10) MS LORI A COPPINGER,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(11) MR ANTHONY CACACE,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(12) MR RICHARD COUGHLIN,SECRETARY,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(13) MOST REV LEONARD P BLAIR DD,CHAIRMAN,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(14) MOST REV FRANK J CAGGIANO DD,CHAIRMAN,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(15) VERY REV VINCENT SALAMONI MSA,CHAIRMAN,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(16) REV EDWARD PRZYGOCKI MSA,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
(17) REV CHRISTIAN RODEMBOURG MSA,DIRECTOR,1,0,0,0,061149131,129534,Holy Apostles College and Seminary
