name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
THOMAS F SCHUTI'E,PRESIDENT AND TRUSTEE,35,667297,0,129199,111630822,194578,Pratt Institute-Main
BRUCE J GITLIN,CHAIR OF THE BOARD,1,0,0,0,111630822,194578,Pratt Institute-Main
MIKE PRATT,VICE CHAIRMAN OF THE BOARD,1,0,0,0,111630822,194578,Pratt Institute-Main
ROBERT H SIEGEL,VICE CHAIR OF THE BOARD,1,0,0,0,111630822,194578,Pratt Institute-Main
DR JOSHUA L SMITH,SECRETARY,1,0,0,0,111630822,194578,Pratt Institute-Main
HOWARD S STEIN,TREASURER,1,0,0,0,111630822,194578,Pratt Institute-Main
KURT ANDERSEN,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
DEBORAH J BUCK,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
AMY CAPPELLAZZO,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
SUSAN HAKKARAINEN,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
GARY S HATTEM,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
CODY HUGHES,TRUSTEE,20,0,0,0,111630822,194578,Pratt Institute-Main
JUNE KELLY,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
JAMES D KUHN,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
DAVID S MACK,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
KATHARINE L MCKENNA,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
DAVID G MARQUIS,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
JOHN MORNING,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
DAVID O PRATT,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
STAN RICHARDS,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
MARIE TERESA ASARE—BOADI,TRUSTEE FROM 07/01/13,1,0,0,0,111630822,194578,Pratt Institute-Main
KATHRYN C CHENAULT,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
MICHAEL KRISHER,TRUSTEE FROM 07/01/13,1,0,0,0,111630822,194578,Pratt Institute-Main
RALPH PUCCI,TRUSTEE FROM 10/10/13,1,0,0,0,111630822,194578,Pratt Institute-Main
MARK D STUMER,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
JULIANA C TERIAN,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
DAVID C WALENTAS,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
MICHAEL ZETLIN,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
JEFFREY BELLANTONI,TRUSTEE FROM 7/1/13,1,0,0,0,111630822,194578,Pratt Institute-Main
DARRYL HALICKMAN,TRUSTEE FROM 7/1/13,1,0,0,0,111630822,194578,Pratt Institute-Main
HEATHER LEWIS,TRUSTEE FROM 7/1/13,1,0,0,0,111630822,194578,Pratt Institute-Main
ANNE H VAN INGEN,TRUSTEE,1,0,0,0,111630822,194578,Pratt Institute-Main
PETER BARNA,PROVOST,35,283099,0,20346,111630822,194578,Pratt Institute-Main
JUDY AARON,VP ENROLLMENT,35,217106,0,10788,111630822,194578,Pratt Institute-Main
ANDREW BARNES,DEAN SCH OF LIB ARTS & SCI,35,173206,0,29125,111630822,194578,Pratt Institute-Main
TODD M GALITZ,VP DEVELOPMENT,35,258844,0,12823,111630822,194578,Pratt Institute-Main
JOE HEMWAY,CHIEF INFO AND TECH OFFICER,35,211536,0,17916,111630822,194578,Pratt Institute-Main
HELEN MATUSOW—AYRES,VP STUDENT AFFAIRS,35,183739,0,9152,111630822,194578,Pratt Institute-Main
EDMUND RUTKOWSKI,VP FINANCE AND ADMIN,35,268108,0,66270,111630822,194578,Pratt Institute-Main
RUSSELL S ABELL,"DIRECTOR, SCHOOL OF LIBRARY",35,121106,0,26526,111630822,194578,Pratt Institute-Main
TULA GIANNINI,DEAN SCH OF INFO & LIBRARY SCI,35,178175,0,31861,111630822,194578,Pratt Institute-Main
GLEN GORDON,EXEC DIR OF FACILITIES MGMT,35,178355,0,9101,111630822,194578,Pratt Institute-Main
THOMAS HANRAHAN,DEAN SCHOOL OF ARCHITECTURE,35,161838,0,28545,111630822,194578,Pratt Institute-Main
JOHN L PIERCE,DIRECTOR,35,190597,0,29975,111630822,194578,Pratt Institute-Main
