name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Rev Elmer Bauer CM,Board Member,111,0,0,0,111630830,195809,St John's University-New York
John O Brennan Esq,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev MIchael J Carroll CM VIce ChaIr,Board Member,3,0,0,0,111630830,195809,St John's University-New York
Mr Paul M Carroll,Board Member,1,0,0,0,111630830,195809,St John's University-New York
PatrICIa A Castel Esq,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Mr WIllIam CollIns,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev Gregory P Cozzubbo CM,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev KeVIn G Creagh CM Ed D,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Mr Peter P D'Angelo ChaIr,Board Member,5,0,0,0,111630830,195809,St John's University-New York
Mr Paul J Evanson,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Dr Margaret M FItzpatrIck SC,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev Msgr Otto GarCIa,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev John W GouldrIck CM,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Ms Suzanne M HalpIn,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Mr WIllIam Janetschek,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Sr Carol Keehan DC,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev Robert P Maloney CM,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Teresa Mason Esq Secretary,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Joseph M Mattone Sr Esq,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Mr Thomas E McInerney,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Arthur] MIrante II Esq,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Most Rev DaVId M O'Connell CM,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Mr Joseph C O'Connor,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev Hugh O'Donnell CM,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Ms LInda S Sanford Secretary,Board Member,1,0,0,0,111630830,195809,St John's University-New York
MrJoseph H Schwartz,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Mr BrIan T Shea,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Ms PatrICIa C SkarulIs,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Mrs Mary TobIn,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev Bernard M Tracey CM,Board Member,1,0,0,0,111630830,195809,St John's University-New York
Rev Donald J HarrIngton CM,PreSIdent — 1/1/13 — 7/31/13,40,679928,0,16548,111630830,195809,St John's University-New York
Rev Joseph L Levesque CM,PreSIdent — 8/1/13 — 5/31/14,40,0,0,0,111630830,195809,St John's University-New York
Rev Gerard H Luttenberger CM,ExecutIve VP for MlSSlon — 8/1/13 — 5/31/14,40,0,0,0,111630830,195809,St John's University-New York
Rev James J Maher CM,ExecutIve VP for MlSSlon — 1/1/13 — 7/31/13,40,40000,0,0,111630830,195809,St John's University-New York
Martha K HIrst,"ExecutIve VP, COO & Treasurer",40,501156,0,22029,111630830,195809,St John's University-New York
Dr Robert A MangIone,Provost,40,399776,0,53407,111630830,195809,St John's University-New York
Sharon HeWItt WatkIns,VP for Busmess AffaIrs & CFO,40,285528,0,40705,111630830,195809,St John's University-New York
Dr Dorothy E Habben,VP/Secretary of UnIverSIty,40,232944,0,31522,111630830,195809,St John's University-New York
Joseph OlIva Esq,General Counsel,40,411686,0,79104,111630830,195809,St John's University-New York
Steve LaVIn,Head Basketball Coach,40,1864044,0,51243,111630830,195809,St John's University-New York
MIchael SImons,Dean Law School,40,436038,0,62420,111630830,195809,St John's University-New York
Robert WIle,SVP and ChIef of Staff,40,522498,0,48935,111630830,195809,St John's University-New York
Mary Harper Hagan,Sr VIce Pres HR & StrategIc PlannIng,40,371870,0,91564,111630830,195809,St John's University-New York
Andrew SImons,VIce Dean EmerItus,40,347627,0,50326,111630830,195809,St John's University-New York
