name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
WESLEY T DELLINGER,CHAIR,1,0,0,0,231352354,213507,Lebanon Valley College
KATHERINE ] BISHOP,VICE CHAIR,1,0,0,0,231352354,213507,Lebanon Valley College
GEORGE ] KING,ASST TREASURER,1,0,0,0,231352354,213507,Lebanon Valley College
KRISTEN R ANGSTADT,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
JEANNE D ARNOLD,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
JEFFREY BATES,STUDENT TRUSTEE (BEGINNING 5/1/14),1,520,0,0,231352354,213507,Lebanon Valley College
PHILIP BENESCH,FACULTY TRUSTEE (BEGINNING 5/1/14),40,54670,0,22653,231352354,213507,Lebanon Valley College
EDWARD D BREEN,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
TERENCE C BROWN,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
DAVID A CASS,TRUSTEE (BEGINNING 5/1/14),1,0,0,0,231352354,213507,Lebanon Valley College
SUSAN M CORBETI',TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
REV ALFRED T DAY III,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
SUSANNE HARLEY DOMBROWSKI,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
RONALD ] DRNEVICH,TRUSTEE (UNTIL 5/3/14),1,0,0,0,231352354,213507,Lebanon Valley College
JAMES G GLASGOW,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
M LOUISE HESS,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
GREGORY ] HESSINGER,TRUSTEE (BEGINNING 5/1/14),1,0,0,0,231352354,213507,Lebanon Valley College
WENDIE DIMATTEO HOLSINGER,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
MALCOLM L LAZIN,TRUSTEE (UNTIL 5/3/14),1,0,0,0,231352354,213507,Lebanon Valley College
SETH MENDELSOHN,TRUSTEE — ADJUNCT FACULTY,1,9000,0,0,231352354,213507,Lebanon Valley College
CARROLL SKIP MISSIMER,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
CHESTER Q MOSTELLER,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
STEPHEN M NELSON,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
KAT O'HARA,STUDENT TRUSTEE,1,1927,0,0,231352354,213507,Lebanon Valley College
LYNN G PHILLIPS,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
MICHAEL PITTARI,FACULTY TRUSTEE,40,58333,0,21022,231352354,213507,Lebanon Valley College
JEFFREY W ROBBINS,FACULTY TRUSTEE,40,69694,0,21121,231352354,213507,Lebanon Valley College
ELLIOTT ROBINSON,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
ELYSE E ROGERS,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
KAREN A SCHMITI',TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
TRACEY A STOVER,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
ALAN A SYMONETTE,TRUSTEE (UNTIL 5/3/14),1,0,0,0,231352354,213507,Lebanon Valley College
RYAN H TWEEDIE,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
ELIZABETH R UNGER,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
ROBERT M VALDES,STUDENT TRUSTEE (UNTIL 5/3/ 14),1,8768,0,0,231352354,213507,Lebanon Valley College
SAMUEL A WILLMAN,TRUSTEE,1,0,0,0,231352354,213507,Lebanon Valley College
KENNETH YARNALL,FACULTY TRUSTEE,40,72898,0,21690,231352354,213507,Lebanon Valley College
LEWIS E THAYNE,PRESIDENT,40,293743,0,39956,231352354,213507,Lebanon Valley College
THOMAS MAHER,INTERIM VP OF FINANCE (BEGINNING 8/12/13),40,71601,0,9189,231352354,213507,Lebanon Valley College
DEBORAH FULLAM,VP FINANCE (UNTIL 7/31/13),40,85922,0,16859,231352354,213507,Lebanon Valley College
MARY ELIZABETH ESLER,EXEC ASSISTANT (UNTIL 8/31/13),40,88797,0,9627,231352354,213507,Lebanon Valley College
KAREN FEATHER,EXEC ASSISTANT (BEGINNING 9/9/13),40,31129,0,2534,231352354,213507,Lebanon Valley College
MICHAEL GREEN,VP ACADEMIC AFFAIRS/DEAN OF FACULTY,40,178156,0,29710,231352354,213507,Lebanon Valley College
ROBERT RILEY,VP ADMIN/1T (UNTIL 1/17/14),40,158995,0,28902,231352354,213507,Lebanon Valley College
JANET WILEY MULDERRIG,VP ADVANCEMENT (BEGINNING 1/14/13),40,189475,0,17484,231352354,213507,Lebanon Valley College
STAN DACKO,CHAIR/ASSOCIATE PROF PHYSICAL THERAPY,40,119668,0,27416,231352354,213507,Lebanon Valley College
GREGORY KRIKORIAN,VP STUDENT AFFAIRS,40,129634,0,30403,231352354,213507,Lebanon Valley College
DONALD SANTOSTEFANO,SR DIRECTOR FACILITIES MANAGEMENT,40,114112,0,18487,231352354,213507,Lebanon Valley College
