name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
BERNADETI'E M MANGAN,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
WILLIAM MARKMANN M D '70,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
WILLIAM W MATTHEWS III ESQ '90,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
RALPH MAURO ESQ '84,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
KEVIN F O'DONNELL,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
JAMES MORRIS '79,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
BRENNAN PATRICK O'DONNELL PHD,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
JAMES O ROURKE,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
FRANK C PALOPOLI,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
WILLIAM R SAUTI'ER CPA '71,CHAIRMAN OF THE BOARD,1,0,0,0,231352654,213367,La Salle University
JAMES J SMART CPA '79,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
JUDITH A SPIRES '75,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
GREGORY J WEBSTER '81,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
SUSAN BARRETT,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
DIEGO CALDERIN,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
SUSAN ALTAMORE CARUSI,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
JOHN M DALY M D,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
DANIEL K FITZPATRICK,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
JOSEPH A FRICK,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
JAMES GAFFNEY F S C,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
GAETANO P GIORDANO,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
ELMER F HANSEN,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
BRIAN HENDERSON F S C '92,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
RICARDO JOHNSON,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
WILLIAM KELLY JR,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
THOMAS LEONARD,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
FARAH MARIA JIMINEZ,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
ROBERT KESTLER,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
DENNIS MALLOY FSC,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
FRANK G BYRNE,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
STEPHEN T ZARRILLI,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
MARGARET A KANE,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
WILLIAM R SASSO,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
REGINALD M BROWNE,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
DANIEL GARDNER FSC,INDIVIDUAL TRUSTEE,1,0,0,0,231352654,213367,La Salle University
MATTHEW S MCMANNESS,TREASURER,40,349027,39330,0,231352654,213367,La Salle University
EDWARDJ SHEEHY PHD '68,VICE PRESIDENT OF CORP,40,0,0,13347,231352654,213367,La Salle University
JOSEPH MARBACH,PROVOST,40,295847,28662,0,231352654,213367,La Salle University
EDWARD A NICKERSON,CHIEF INFORMATION OFFICER,40,167894,34856,0,231352654,213367,La Salle University
MICAHELJ PAYNE,INTERIM VICE—PRESIDENT,40,111274,8912,0,231352654,213367,La Salle University
GEORGE J WALTER,VP — ENROLLMENT SERVICES,40,195787,0,20623,231352654,213367,La Salle University
R BRIAN ELDERTON,"VICE PRESIDENT, ADVANCEMENT",40,286839,34045,0,231352654,213367,La Salle University
JAMES MOORE,"VICE—PRESIDENT,STUDENT AFFAIRS",40,206137,32311,0,231352654,213367,La Salle University
RICHARD A NIGRO,"DIRECTOR, HONORS",40,242185,28639,0,231352654,213367,La Salle University
JOHN GIANNINI,BASKETBALL COACH,40,690728,78199,0,231352654,213367,La Salle University
YUSUF J UGRAS,"DEAN, COLLEGE OF PROF & CONT",40,218851,37718,0,231352654,213367,La Salle University
THOMAS BRENNAN,ATHLETIC DIRECTOR,40,259013,34514,0,231352654,213367,La Salle University
