name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Robert Duffett,PreSIdent,40,48192,0,141361,231409675,212133,Eastern University
ArthurW HIll,Board Chair,1,0,0,0,231409675,212133,Eastern University
W Donald Gough,Treasurer,1,0,0,0,231409675,212133,Eastern University
Ronald B Evans,Secretary,1,0,0,0,231409675,212133,Eastern University
Michael Mandalino,Board Member,1,0,0,0,231409675,212133,Eastern University
Mar]ean B Brauch,Board Member,1,0,0,0,231409675,212133,Eastern University
Delores Brisbon,Board Member,1,0,0,0,231409675,212133,Eastern University
Jacob Chatman,Board Member,1,0,0,0,231409675,212133,Eastern University
Steve Clemens,Board Member,1,0,0,0,231409675,212133,Eastern University
Rev Danny Cortes,Board Member,1,0,0,0,231409675,212133,Eastern University
Rev Albert G DaVIs Jr,Board Member,1,0,0,0,231409675,212133,Eastern University
Dr Rev Richard A Dent,Board Member,1,0,0,0,231409675,212133,Eastern University
E Shepard Farrar,Board Member,1,0,0,0,231409675,212133,Eastern University
Rev Dr W Wilson Goode Sr,Board Member,1,0,0,0,231409675,212133,Eastern University
John C Honor Jr part year,Board Member,1,0,0,0,231409675,212133,Eastern University
Lucy Huff,Board Member,1,0,0,0,231409675,212133,Eastern University
Teresa Klaassen part year,Board Member,1,0,0,0,231409675,212133,Eastern University
Richardson T Merriman,Board Member,1,0,0,0,231409675,212133,Eastern University
Steve O'Hearn,Board Member,1,0,0,0,231409675,212133,Eastern University
Charles A Olson III,Board Member,1,0,0,0,231409675,212133,Eastern University
Thomas M Petro,Board Member,1,0,0,0,231409675,212133,Eastern University
Janis Plostnieks,Board Member,1,0,0,0,231409675,212133,Eastern University
James H Rogers part year,Board Member,1,0,0,0,231409675,212133,Eastern University
Dr Richard E Rusbuldt,Board Member,1,0,0,0,231409675,212133,Eastern University
George Torggler part year,Board Member,1,0,0,0,231409675,212133,Eastern University
Malcolm Street part year,Board Member,1,0,0,0,231409675,212133,Eastern University
John SunquIst,Board Member,1,0,0,0,231409675,212133,Eastern University
Dennis Tanner PhD,Board Member,1,0,0,0,231409675,212133,Eastern University
John M Templeton Jr MD,Board Member,1,0,0,0,231409675,212133,Eastern University
F Ardell Thomas MD,Board Member,1,0,0,0,231409675,212133,Eastern University
Rev Dr Alyn E Waller,Board Member,1,0,0,0,231409675,212133,Eastern University
Kelly WIIbraham,Board Member,1,0,0,0,231409675,212133,Eastern University
Algit Joy,Board Member,1,0,0,0,231409675,212133,Eastern University
Kenton Sparks,Provost,40,94245,0,73104,231409675,212133,Eastern University
Thomas Ridington,Senior VP,40,141843,0,31215,231409675,212133,Eastern University
Derek Ritchie,VP for Development,40,90877,0,20129,231409675,212133,Eastern University
Diana Bach,VP — Registrar,40,121920,0,20473,231409675,212133,Eastern University
Betty Ann Brigham,VP Student Development,40,124824,0,9938,231409675,212133,Eastern University
J Pernell Jones,VP — Finance & Operations,40,144686,0,30986,231409675,212133,Eastern University
Debra Heath—Thornton,Dean of Graduate Studies,40,122886,0,16592,231409675,212133,Eastern University
Beth Doriani,Dean of Arts and Science,40,103559,0,28940,231409675,212133,Eastern University
