name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Thomas E Bajus,Board Member,1,0,0,0,231627436,214883,Peirce College
Joseph F Barstys,Board Member,1,0,0,0,231627436,214883,Peirce College
Stephanie Mays Boyd,Board Member,1,0,0,0,231627436,214883,Peirce College
Renee Byng Branch,Board Member,1,0,0,0,231627436,214883,Peirce College
Peter A Caputo,Board Member,1,0,0,0,231627436,214883,Peirce College
Lisa A Curran,Board Member,1,0,0,0,231627436,214883,Peirce College
Alphonso Dinson,Board Member,1,0,0,0,231627436,214883,Peirce College
Mark Edwards,Board Member,1,0,0,0,231627436,214883,Peirce College
Edward J Mansfield,Board Member,1,0,0,0,231627436,214883,Peirce College
Margaret A McCausland,Board Member,1,0,0,0,231627436,214883,Peirce College
Kathryn McCluskey,Board Member,1,0,0,0,231627436,214883,Peirce College
Martin S Mirman,Board Member,1,0,0,0,231627436,214883,Peirce College
William H Morgan,Vice Chair,1,0,0,0,231627436,214883,Peirce College
Barbara A Prutzman,Board Member,1,0,0,0,231627436,214883,Peirce College
Margaret E Sofio,Vice Chair,1,0,0,0,231627436,214883,Peirce College
Joseph T Steuer,Board Member,1,0,0,0,231627436,214883,Peirce College
Katy K Theroux,Chair,1,0,0,0,231627436,214883,Peirce College
Robert] Scullin,Board Member,1,0,0,0,231627436,214883,Peirce College
Lisa Walker,Board Member,5,0,0,0,231627436,214883,Peirce College
MARC D AMMATURO,BOARD MEMBER,1,0,0,0,231627436,214883,Peirce College
SCOTT D SMlTH,BOARD MEMBER,1,0,0,0,231627436,214883,Peirce College
ROBERT G GRASSO,BOARD MEMBER,1,0,0,0,231627436,214883,Peirce College
TOM KARINSHAK,BOARD MEMBER,1,0,0,0,231627436,214883,Peirce College
LINNE'I'I'E W BLACK,BOARD MEMBER,1,0,0,0,231627436,214883,Peirce College
GERARDO MONROY,BOARD MEMBER,1,0,0,0,231627436,214883,Peirce College
Brad K Hodge,VP OF FINANCE,40,136226,0,18021,231627436,214883,Peirce College
Amy A Caliendo,Board Secretary,40,85674,0,27502,231627436,214883,Peirce College
RITA TOLIVER,VP OF ACADEMIC ADVANCEMENT,40,140126,0,38319,231627436,214883,Peirce College
Lisa Paris,VP OF MARKETING & ADMISSIONS,40,137677,0,30401,231627436,214883,Peirce College
Charles A Wright,"VP, Institutional Advancement",40,179369,0,31117,231627436,214883,Peirce College
HARRIET S GOLEN,VP OF HUMAN RESOURCES,40,117732,0,32706,231627436,214883,Peirce College
UVA C COLES,VP OF STUDENT SERVICES,40,110546,0,43367,231627436,214883,Peirce College
JAMES BURNS,CHIEF INFORMATION OFFICER,40,123002,0,43548,231627436,214883,Peirce College
Adrian Zappala,Dean of Graduate Studies,40,119208,0,27415,231627436,214883,Peirce College
Patricia A Rucker EDD,SVP & Provost,40,136434,0,6036,231627436,214883,Peirce College
