name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
TONY Aretz,Pre5ident,48,247850,0,79577,237179567,204200,Mount Saint Joseph University
Linda Antus,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Joanne M Burrows SC,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Barbara DaVIs SC,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
George S Elliot,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Michael] Habel,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Mary E Ivers,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Frank G Julian,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Michael T LaRosa,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Timothy A Massa,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Judith Metz SC,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Jason P Niehaus,VICE—CHAIRMAN,1,0,0,0,237179567,204200,Mount Saint Joseph University
E Richard Oberschmidt Esq,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Bernadette L Plair,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
John S Prout,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Toby P Rau,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Lisa Sanger,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Thomas] Schiller,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Mary Delores Schneider SC,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Timothy J Schroeder,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Mark Weadick,"Trustee, Finance Chair",1,0,0,0,237179567,204200,Mount Saint Joseph University
PatrICIa Wittberg SC,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Donald B Bush,Trustee,1,0,0,0,237179567,204200,Mount Saint Joseph University
Kenneth W Stecher,CHAIRMAN OF THE BOARD,3,0,0,0,237179567,204200,Mount Saint Joseph University
MARTIN F HOLLENBECK,TRUSTEE,1,0,0,0,237179567,204200,Mount Saint Joseph University
CATHERINE KIRBY SC,TRUSTEE,1,0,0,0,237179567,204200,Mount Saint Joseph University
JOHN J YOUNG,TRUSTEE,1,0,0,0,237179567,204200,Mount Saint Joseph University
CAROLINE K PRATT,TRUSTEE (EFF 9/17/13),1,0,0,0,237179567,204200,Mount Saint Joseph University
JANIS C ROSS,TRUSTEE,1,0,0,0,237179567,204200,Mount Saint Joseph University
KENNETH J RYAN,TRUSTEE (EFF 9/17/13),1,0,0,0,237179567,204200,Mount Saint Joseph University
BERNARD P SUER,TRUSTEE,1,0,0,0,237179567,204200,Mount Saint Joseph University
MARY DENISE KUPRIONIS,TRUSTEE (THRU 9/16/13),1,0,0,0,237179567,204200,Mount Saint Joseph University
Anne Mane Wagner,Treasurer & CFO,48,138540,0,19762,237179567,204200,Mount Saint Joseph University
LINDA PANZECA,SCRTRY/CHIEF CMPLNC/RISK OFF,48,102494,0,16450,237179567,204200,Mount Saint Joseph University
SCRTRY/CHIEF CMPLNC/RISK OFF,"X 122,582 29,731",,48,0,0,237179567,204200,Mount Saint Joseph University
Alan Decourcy,VP — Academlc Affalrs,48,122582,0,29731,237179567,204200,Mount Saint Joseph University
Darla Vale,Dean of ADULt & Grad Studles,48,123731,0,23265,237179567,204200,Mount Saint Joseph University
Kelth Weber,VP 1T & STRATEGIC PLANNING,48,108684,0,21926,237179567,204200,Mount Saint Joseph University
PATRICIA RAGIO,VP — Instltutlonal Advancement,48,125022,0,29876,237179567,204200,Mount Saint Joseph University
ROSANNE THOMAS,DEPT CHAIRPERSON PT,48,115491,0,25826,237179567,204200,Mount Saint Joseph University
