name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
MICHAEL AMORY,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
STUART M BELL,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
MSGR JOHN J BENDIK,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
CHRISTOPHER L BORTON,VICE CHAIRMAN,20,0,0,0,240795406,214069,Misericordia University
JONATHAN BRASSINGTON,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
R GREGORY COLLINS,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
DR RUTH A CONNOLLY,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
SCOTT DAGENAIS,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
DR MARY ANN DILLON RSM,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
MARY ERWINE,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
PATRICIA FINAN—CASTELLANO,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
HAROLD E FLACK II,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
ROBERT FRIEDMAN,TRUSTEE (RESIGNED 6—14),20,0,0,0,240795406,214069,Misericordia University
DR MARTHA HANLON RSM,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
ROGER HOWELL,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
SANDY INSALACO SR,TRUSTEE (RETIRED 6—14),20,0,0,0,240795406,214069,Misericordia University
KRISTOPHER JONES,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
SCOTT LYNETI',TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
SHERRY A MANETTA,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
MARJORIE MARQUART,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
SR CATHERINE MCGROARTY RSM,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
JOHN C METZ,CHAIRMAN,20,0,0,0,240795406,214069,Misericordia University
DANIEL MEUSER,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
DR MARY HELEN NUGENT RSM,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
DR CAROL RITI'NER RSM,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
PAUL SIEGEL,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
ROSEMARY SIGMOND,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
DR DEBORAH SMITH—MILESKI,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
ROBERTJ SOPER,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
MARY BETH SULLIVAN,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
DR MAYON SYLVAIN RSM,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
MURRAY UFBERG ESQ,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
WILLIAM C WILLIAMS,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
PAUL WOELKERS,TRUSTEE,20,0,0,0,240795406,214069,Misericordia University
DR MICHAEL MACDOWELL,PRESIDENT (RET 6/13),40,285255,0,51101,240795406,214069,Misericordia University
ERIC NELSON,VP — FIN AND ADMIN/TREASURER,40,152317,0,19025,240795406,214069,Misericordia University
MARI KING LEFT POSITION,VP — ACADEMIC AFFAIRS,614,145429,0,27866,240795406,214069,Misericordia University
SISTER JEAN MESSAROS,"VICE PRESIDENT, MISSION INTEGRATION",40,0,0,15196,240795406,214069,Misericordia University
CAROL FAHNESTOCK,"ADMIN ASST , PRES/ SECRETARY",40,49726,0,17151,240795406,214069,Misericordia University
SUSAN HELWIG,VP — UNIV ADVANCEMENT,40,144441,0,23776,240795406,214069,Misericordia University
BARBARA LOFTUS,"VP — PLANNING, ASSESSMENT, RESEARCH",40,129037,0,20797,240795406,214069,Misericordia University
GLEN TELLIS,INTERIM DEAN — COLL HEALTH,40,161312,0,15332,240795406,214069,Misericordia University
INTERIM DEAN — COLL HEALTH,"X 127,243 16,512",,40,00,0,240795406,214069,Misericordia University
SUSAN BARKER,PROFESSOR,40,127243,0,16512,240795406,214069,Misericordia University
