name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
BARBARA A PERRY FITZGERALD,"CHAIR, BOARD OF TRUSTEES",1,0,0,0,314379584,203845,Marietta College
CYNTHIA REECE,"VICE CHAIR, BOARD OF TRUSTEE",1,0,0,0,314379584,203845,Marietta College
JOSEPH W BRUNO,PRESIDENT,40,272629,0,59417,314379584,203845,Marietta College
ANNA BOWSER BAILEY,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
BRENT MCCURDY,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
CATHY A PERCIVAL,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
CHARLES SULERZYSKI,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
CHRISTOPHER CORTEZ,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
DALE WARTLUFT,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
DONALD RITTER,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
DONALD STRICKLAND,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
EDGAR L SMITH JR,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
ELLIOTT LTHRASHER,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
GEORGE FENTON,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
JAMES TRACY,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
JASON C REEBROOK,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
JO ELLEN DIEHLYEARY,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
JOHN LANGEL,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
JOHN R MURPHY,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
KATHLEEN MARIE MITCHELL MURPHY,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
LEONARD M RANDOLPH JR,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
MATTHEW J MACATOL,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
MICHAELJ SALVINO,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
MICHAEL MOFFITT,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
NANCY PUTNAM HOLLISTER,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
PATRICIA GRIFFIN CURTIN,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
PATRICIA KRAL ZECCHI,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
ROBERT BRUCKEN,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
ROGER D ANDERSON,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
RONALD RINARD,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
T GRANT CALLERY,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
TONI ROBINSON—SMITH,TRUSTEE,1,0,0,0,314379584,203845,Marietta College
DANIEL BRYANT,TREASURER & VP FINANCE & ADM,40,176933,0,13996,314379584,203845,Marietta College
H DANIEL HUNGERFORD,ASST TREASURER / CONTROLLER,40,91814,0,58002,314379584,203845,Marietta College
WILLIAM DONNELLY,SECRETARY,1,0,0,0,314379584,203845,Marietta College
CROMPTON BURTON,ASSOC VP OF ADVANCEMENT,40,103186,0,25673,314379584,203845,Marietta College
GAMALIEL PERRUCI,PROVOST,40,127425,0,54154,314379584,203845,Marietta College
JOSEPH SANDMAN,VP ADVANCEMENT,40,119415,0,25037,314379584,203845,Marietta College
ROBERT CHASE,PROFESSOR,40,122714,0,18556,314379584,203845,Marietta College
ROBERT PASTOOR,VP OF STUDENT LIFE,40,125104,0,49671,314379584,203845,Marietta College
