name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
SUE DEWINE,PRESIDENT,50,296962,30984,0,350868096,150756,Hanover College
JAMES R DODSON,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
GARY B MONTGOMERY,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
KENNETH LGLADISH,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
RICHARD L HALL,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
MARK A LEVETI',VICE CHAIRMAN,1,0,0,0,350868096,150756,Hanover College
MARK WILLIAMS,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
ROBERT F MUHLHAUSER JR,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
PHILLIP D SCOTT,CHAIRMAN,1,0,0,0,350868096,150756,Hanover College
WILLIAM SHREWSBERRY JR,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
JAMES B STURGES,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
JOHN C TRIMBLE,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
PATRICIA STOCKTON HAGENAH,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
REETA HEM GUPTA BRENDAMOUR,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
DR CAROL GODFREY GREEN,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
BRENDA IGO TOWNES MD,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
JAMES K WARD,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
MATT FORRESTER,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
MARK GABRIEL,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
DR KRISTINE RECTOR GLEASON,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
J JOSEPH HALE JR,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
ROSS HUBBARD,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
VERONICA WITI' MARTIN,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
JAMES L CHIP PEASE,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
RICHARD A SHEARER,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
STEPHEN K SMITH,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
MICHAEL B ZEDDIES,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
CHRIS WELKER,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
J BARTON LUEDEKE PHD,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
REVEREND LJOHN GABLE,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
JAMES R GAUNT,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
GEOFFREY R LORENZ,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
DIMA ELISSA,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
GREG WILLMAN,BOARD MEMBER,1,0,0,0,350868096,150756,Hanover College
J MICHAEL BRUCE,VP—BUSINESS AFFAIRS,50,151397,0,19852,350868096,150756,Hanover College
DENNIS HUNT,VP—DEVELOPMENT,50,159893,0,15466,350868096,150756,Hanover College
G DAVID YEAGER,VP—STUDENT AFFAIRS,50,100163,0,21401,350868096,150756,Hanover College
GERALD R JOHNSON,EXEC DIR OF BUSINESS SCHOOL,50,120511,0,6026,350868096,150756,Hanover College
STEVEN H JOBE,ACADEMIC DEAN,50,124310,0,21084,350868096,150756,Hanover College
JONATHAN MILLER,MEN'S BASKETBALL COACH,50,108409,0,18331,350868096,150756,Hanover College
