name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
J DAVID ARNOLD,PRESIDENT,40,249638,33542,0,370673484,144971,Eureka College
DAVID ADAMS,CHAIRMAN,1,0,0,0,370673484,144971,Eureka College
JAMES HENGST,VICE CHAIRMAN,1,0,0,0,370673484,144971,Eureka College
K EDWARD HOLDERLE,SECRETARY,1,0,0,0,370673484,144971,Eureka College
MARK A SPENNY,TREASURER,1,0,0,0,370673484,144971,Eureka College
MICKEISHA ARMSTRONG,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
ROBERT ATTERBURY,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
FLORENCE BANWART,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
GLEN A BARTON,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
WAYNE BAUM,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
LANCE A BYERLY,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
KEVIN CALLIS,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
GREGORY FOLLEY,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
RODNEY GOULD,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
JAY HEIN,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
ROBERT HEITZMAN,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
GREG HENRY,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
CHARLES HERSHBERGER,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
BARBARA HODEL,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
MICHELLE HUBBLE,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
MARIANNA JACKSON,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
WILLIAM K KING,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
MICHAEL MANGOLD,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
JOHN PINI,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
RICHARD RENNER,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
ANTHONY RIGAZIO,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
KRISTEN BECK SULLIVAN,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
GLENN AWERRY,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
HARRY WILLIAMS,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
DAVID WINDLEY,BOARD MEMBER,1,0,0,0,370673484,144971,Eureka College
MARC P PASTERIS,CFO,40,124817,0,28241,370673484,144971,Eureka College
PHILLIP ACREE CAVALIER,PROVOST,40,124425,0,28258,370673484,144971,Eureka College
MICHAELK MURTAGH,VP—DEVELOPMENT,40,119688,0,8579,370673484,144971,Eureka College
