name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) MAREDA BABCOCK,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(2) MARYFRANCES BARBER,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(3) DIANE DEFRANCIS MUNN,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(4) KAY BENESH o,BOARD CHAIR,1,0,0,0,381358399,170842,Marygrove College
(5) ALFRED BINFORD,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(6) ELIZABETH BURNS,SECRETARY OF THE BOARD,1,0,0,0,381358399,170842,Marygrove College
(7) JOHN CAVANAUGH,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(8) NANCY GESCHKE,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(9) JAMES HEIMBUCH,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(10) MARY ANN HINSDALE,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(11) SHARON HOLLAND,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(12) DONNA JURICK,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(13) MAXINE KOLLASCH,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(14) PATRICIA MCCLUSKEY,VICE CHAIRPERSON,1,0,0,0,381358399,170842,Marygrove College
(15) THE HONORABLE LINDA PARKER,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(16) ELIZABETH RICHARDS,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(17) LEROY RICHIE,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(18) KATHLEEN SCHULTZ,BOARD MEMBER,1,0,0,0,381358399,170842,Marygrove College
(19) DR DAVID FIKE,PRESIDENT,60,269467,0,21899,381358399,170842,Marygrove College
(20) WILLIAM JOHNSONLeft,VP OF FINANCE & ADMINISTRATION,71413,111790,0,1383,381358399,170842,Marygrove College
(21) MARJORIE SWAN,VP FINANCE & ADMINISTRATION,60,40267,318,0,381358399,170842,Marygrove College
(22) KENNETH MALECKE,VP INSTITUTIONAL ADVANCEMENT,60,194850,0,10996,381358399,170842,Marygrove College
"OVATIONS DINING SERVICES LLC, PO BOX NEW HUDSON MI48165 DINING SERVICES 1,399,527","BARNES AND NOBLE, MOUNTAIN VIEW BLVD BASKIN RIDGE NJ BOOKSTORE 659,208",261,674271,803835,0,381358399,170842,Marygrove College
"CARETECH SOLUTIONS, PO BOX DETROIT MI48267 TECHNOLOGY SERVICES 803,835","MBS DIRECT, PO BOX COLUMBUS OH BOOKS FOR MAT 290,168",674271,120,07920,659208,381358399,170842,Marygrove College
"BARNES AND NOBLE, MOUNTAIN VIEW BLVD BASKIN RIDGE NJ BOOKSTORE 659,208","GUTHRIE STREET SUITE LOUISVILLE KY EDUCATIONAL PARTNER 155,600",120,617,65205,290168,381358399,170842,Marygrove College
