name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Melanie Bergeron,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Richard J Garber,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Terry L Neese,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
James C Fabiano II,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Edward J McBrien,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Kathleen M Vertln,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
John A Hohman,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Lambert E Althaver,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Phillip D Brady,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Daniel G DeVos,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Noelle M Walsh,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Robert Grubb,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
John J Ferron,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
PatrICIa Riley,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
John R Hantz,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Lyttleton T Harris 1V,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
James O Hutcheson,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Donald W Taylor,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
PatrICIa L Naegele,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
William A Parlberg,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Maureen L Smith,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Allen B West,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Temple Sloan III,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Albert F Zehnder,Trustee,0,0,0,0,381624684,227243,Northwood University-Texas
Keith A Pretty JD,PreSIdent & CEO,60,346781,0,69613,381624684,227243,Northwood University-Texas
Tom L Duncan PhD,PreSIdent — FL,60,146603,0,15820,381624684,227243,Northwood University-Texas
Kristin Stehouwer PhD,Vice PreSIdent,60,193855,0,14925,381624684,227243,Northwood University-Texas
Timothy G Nash EdD,Vice PreSIdent,60,183819,0,12218,381624684,227243,Northwood University-Texas
KeVIn G Fegan EdD,PreSIdent — TX,60,153958,0,15054,381624684,227243,Northwood University-Texas
William Karl Stephan MBA,Vice PreSIdent,60,175083,0,8306,381624684,227243,Northwood University-Texas
Arnold D'AmbrOSIo,Vice PreSIdent,60,226016,0,22682,381624684,227243,Northwood University-Texas
William Bateman DBA,PreSIdent — MI,60,155064,0,12619,381624684,227243,Northwood University-Texas
Brian E Sandusky Ph D,Vice PreSIdent,60,149534,0,15918,381624684,227243,Northwood University-Texas
Lawrence Lindsey,PreSIdent MI,60,91386,0,9623,381624684,227243,Northwood University-Texas
Richard Ebeling,Professor,60,110910,0,13246,381624684,227243,Northwood University-Texas
Rhonda Anderson,Assoc Dean,60,112156,0,12396,381624684,227243,Northwood University-Texas
Lisa Fairbairn,Dean of RDGSM,60,176966,0,16484,381624684,227243,Northwood University-Texas
DaVId Rausch,DeVos Administrati,60,119187,0,6873,381624684,227243,Northwood University-Texas
