name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
BenjamIn D Schoun,"VIce PreSIdent, General Conference of SDA",0,0,0,0,381627600,168740,Andrews University
Don LIvesay,"PreSIdent, Lake UnIon Conference of SDA",0,0,0,0,381627600,168740,Andrews University
"PreSIdent, Lake UnIon Conference of SDA",X,0,0,0,0,381627600,168740,Andrews University
LIsa Beardsley—Hardy,EducatIon DIrector General Conf of SDA,0,0,0,0,381627600,168740,Andrews University
RoseMarIe Cazeau,RetIred,0,0,0,0,381627600,168740,Andrews University
Jerome DaVIs,"PreSIdent, Lake RegIon Conference of SDA",0,0,0,0,381627600,168740,Andrews University
"PreSIdent, Lake RegIon Conference of SDA",X,0,0,0,0,381627600,168740,Andrews University
Debe J ChrIstensen,Propp ChrIstensen CanIglIa LLP,0,0,0,0,381627600,168740,Andrews University
Propp ChrIstensen CanIglIa LLP,X,0,0,0,0,381627600,168740,Andrews University
MIchael G Edge,"PreSIdent, WIsconsm Conf of SDA",0,0,0,0,381627600,168740,Andrews University
Jay GallImore,"PreSIdent, MIchIgan Conference of SDA",0,0,0,0,381627600,168740,Andrews University
Dr Cletus R Georges,"UrologIst, MId FlorIda UrologIst Assn",0,0,0,0,381627600,168740,Andrews University
"UrologIst, MId FlorIda UrologIst Assn",X,0,5,0,0,381627600,168740,Andrews University
Dr Lynn Gray,"PhySIcIan, Lakeland Reg Ional Health System",5,0,0,0,381627600,168740,Andrews University
Gary Thurber,"ExecutIve Secretary, Lake UnIon Conf of SDA",0,0,0,0,381627600,168740,Andrews University
"ExecutIve Secretary, Lake UnIon Conf of SDA",X,0,0,0,0,381627600,168740,Andrews University
Dr Loren Hamel,"PreSIdent and CEO, Lakeland Heathcare",0,0,0,0,381627600,168740,Andrews University
Dr Edwm I Hernandez,"SenIor Program Ofﬁcer, DeVos FamIly FoundatIons",0,0,0,0,381627600,168740,Andrews University
Dann HotellIng,"FInance DIrector, Global FamIly Care—Procter & Gamble",0,0,0,0,381627600,168740,Andrews University
"FInance DIrector, Global FamIly Care—Procter & Gamble",X,0,0,0,0,381627600,168740,Andrews University
Van G Hurst,"PreSIdent, Ind Iana Conference of SDA",0,0,0,0,381627600,168740,Andrews University
"PreSIdent, Ind Iana Conference of SDA",X,0,0,0,0,381627600,168740,Andrews University
Sandra K Johnson,"SenIor VP, AdventIst Health System",0,0,0,0,381627600,168740,Andrews University
Robert E Lemon,"Treasurer, General Conference of SDA",0,0,0,0,381627600,168740,Andrews University
Fred Manchur,"PreSIdent, KetterIng MedIcal Ctr",0,0,0,0,381627600,168740,Andrews University
"PreSIdent, KetterIng MedIcal Ctr",X,0,0,0,0,381627600,168740,Andrews University
DanIel Jackson,"PreSIdent, North AmerIcan DIVISIon of SDA",0,0,0,0,381627600,168740,Andrews University
"PreSIdent, North AmerIcan DIVISIon of SDA",X,0,0,0,0,381627600,168740,Andrews University
Mark A Johnson,"PreSIdent, SDA Church In Canada",0,0,0,0,381627600,168740,Andrews University
"PreSIdent, SDA Church In Canada",X,0,0,0,0,381627600,168740,Andrews University
WIllIam G C Murdoch Jr,"ChaIr, Dept of PsychIatry, MedIcal DIrector LLU BehaVIoral",0,0,0,0,381627600,168740,Andrews University
Donald KIng,"PreSIdent, AtlantIc UnIon Conference of SDA",0,0,0,0,381627600,168740,Andrews University
"PreSIdent, AtlantIc UnIon Conference of SDA",X,0,0,0,0,381627600,168740,Andrews University
