name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Ms Natalie A Black,Trustee,1,0,0,0,390806251,239105,Marquette University
MrJohn F Ferraro,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Richard J Fotsch,Trustee,1,0,0,0,390806251,239105,Marquette University
Rev James G Gartland SJ,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Darren R Jackson,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr James F Janz,Trustee,1,0,0,0,390806251,239105,Marquette University
Rev Timothy R Lannon SJ,Trustee,1,0,0,0,390806251,239105,Marquette University
Rev Thomas A Lawler SJ,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Patrick Lawton,Trustee,5,0,0,0,390806251,239105,Marquette University
MrJohn P Lynch,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Alfred C McGUIre,Trustee,1,0,0,0,390806251,239105,Marquette University
Ms Kelly McShane,Trustee,1,0,0,0,390806251,239105,Marquette University
Dr Arnold L Mitchem,Trustee,1,0,0,0,390806251,239105,Marquette University
Rev Joseph M O'Keefe SJ,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr James D O'Rourke,Trustee,1,0,0,0,390806251,239105,Marquette University
Dr Janis M Orlowski MD MACP,Trustee,1,0,0,0,390806251,239105,Marquette University
Ms Kristine A Rappe,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Glenn A Rivers,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Scott A Roberts,Trustee,1,0,0,0,390806251,239105,Marquette University
Hon W Greg Ryberg,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Scott H Schroeder,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Owen J Sullivan,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Charles M Swoboda,Trustee,1,0,0,0,390806251,239105,Marquette University
Ms Cherryl T Thomas,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Benjamin Tracy,Trustee,5,0,0,0,390806251,239105,Marquette University
Ms Margaret M Troy,Trustee,1,0,0,0,390806251,239105,Marquette University
Ms Rhona Vogel,Trustee,1,0,0,0,390806251,239105,Marquette University
MrJames M Weiss,Trustee,1,0,0,0,390806251,239105,Marquette University
Mr Thomas H Werner,Trustee,1,0,0,0,390806251,239105,Marquette University
Hon James A Wynn,Trustee,1,0,0,0,390806251,239105,Marquette University
Rev Michael A Zampelli SJ,Trustee,1,0,0,0,390806251,239105,Marquette University
Ms Anne A Zizzo,Trustee,1,0,0,0,390806251,239105,Marquette University
Rev Scott R Pilarz SJ,PreSIdent,40,157890,0,0,390806251,239105,Marquette University
Rev Robert A Wild SJ,PreSIdent,40,0,0,0,390806251,239105,Marquette University
Dr Margaret F Callahan,Corp Vice PreSIdent,40,291836,0,0,390806251,239105,Marquette University
MrJohn C Lamb,Corp Treasurer,40,316833,0,0,390806251,239105,Marquette University
Ms Mary L Austin,Corp Asst Treasurer,40,185545,0,0,390806251,239105,Marquette University
Mr Steven W Frieder,Corp Secretary,40,111471,0,0,390806251,239105,Marquette University
Ms Cynthia M Bauer,Corp Asst Secretary,40,227347,0,0,390806251,239105,Marquette University
Dr Mary A DiStanislao,Executive Vice PreSIdent,40,233618,0,0,390806251,239105,Marquette University
Mr Lawrence R Williams,Athletic Director,40,416594,0,0,390806251,239105,Marquette University
Mr Thomas P Ganey,Vice PreSIdent of Planning,40,215712,0,0,390806251,239105,Marquette University
Mr Brent L Williams,Mens Basketball Coach,40,2111606,0,0,390806251,239105,Marquette University
Ms Terri L Mitchell,Womens Basketball Coach,40,446523,0,0,390806251,239105,Marquette University
Mr Joseph D Kearney,Dean Law School,40,319935,0,0,390806251,239105,Marquette University
Mr Isaac Chew,Asst Mens Basketball Coach,40,319576,0,0,390806251,239105,Marquette University
Dr Robert H Bishop,Dean Engineering,40,307087,0,0,390806251,239105,Marquette University
Mr Gregory J Kliebhan,Former Corp VP,,346685,0,0,390806251,239105,Marquette University
Dr John J Pauly,Former Corp VP,40,275681,0,0,390806251,239105,Marquette University
