name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) ALLISON SMITH,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(2) DAVE FLORIN,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(3) DEANNA TILLISCH,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(4) JIM WIEMER,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(5) JASON ALLEN,TREASURER,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(6) JENNIFER HANSEN,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(7) JEREMY SHAMROWICZ,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(8) JERRY BENJAMIN,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(9) JILL MORIN,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(10) JENNIFER FLORSHEIM,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(11) JUDY GUTEN,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(12) JUSTIN MORTARA,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(13) LAWRENCE MOON,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(14) LINDA MARCUS,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(15) MADELEINE KELLY LUBAR,CHAIR,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(16) MATTHEW D RINKA,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(17) MICHELLE MASON,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(19) SHELLEY PAXTON,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(20) RANDY STRAUSS,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(21) ROBERT JOSEPH,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(22) ROBERT MIKULAY,VICE CHAIR,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(23) ROBERT SCHWARTZ,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(24) SCOTT SCHWEBEL,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(25) SEAN CUMMINGS,TRUSTEE,1,0,0,0,391201561,239309,Milwaukee Institute of Art & Design
(27) NEIL HOFFMAN,PRESIDENT,40,294222,15269,0,391201561,239309,Milwaukee Institute of Art & Design
(28) DAVID MARTIN,VP ACADEMIC AFFAIRS,40,133230,30725,0,391201561,239309,Milwaukee Institute of Art & Design
(29) MARY SCHOPP,VP ENROLLMENT MANAGEMENT,40,133195,28200,0,391201561,239309,Milwaukee Institute of Art & Design
