name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) GERALD CONDON JR,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(2) DR CHARLES IRKE,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(3) GEORGE KERWIN,BOARD MEMBER,1,0,459411,29540,391620530,238324,Bellin College
(4) DR WILLIAM J WITI'MAN,BOARD MEMBER,1,0,296028,22524,391620530,238324,Bellin College
(5) KAREN BRUKARDT,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(6) CINDY DEHN,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(7) BRANNON GUYETTE,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(8) JON P MOREAU,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(9) DONALD SALMON,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(10) TERRY FULWILER,MEMBER AT—LARGE,1,0,0,0,391620530,238324,Bellin College
(11) DR HERB COUSSONS,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(12) CONNIE BOERST,PRESIDENT,40,156695,0,28617,391620530,238324,Bellin College
(13) THOMAS PRUST,VICE CHAIRPERSON,1,0,0,0,391620530,238324,Bellin College
(14) KATHLEEN RILEY,BOARD MEMBER,1,0,0,0,391620530,238324,Bellin College
(15) ROBERT CLAUSEN,CHAIRPERSON,1,0,0,0,391620530,238324,Bellin College
(16) DR FERGUS HUGHES,TREASURER,1,0,0,0,391620530,238324,Bellin College
(17) MIKE VAN ASTEN,SECRETARY,1,0,0,0,391620530,238324,Bellin College
(18) JOSEPH KEEBAUGH,FORMER VP OF BUSINESS AND FINANCE,40,81528,0,20293,391620530,238324,Bellin College
(19) GINGER KRUMMEN SCHRAVEN,VP OF BUSINESS AND FINANCE,40,64339,0,3703,391620530,238324,Bellin College
