name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Nina M Archabal,Trustee,5,0,0,0,410694747,173258,Carleton College
Danielle Bart,Trustee,5,0,0,0,410694747,173258,Carleton College
Alan R Bauer,Trustee,5,0,0,0,410694747,173258,Carleton College
Beth Boosalis DaVIs,Trustee,5,0,0,0,410694747,173258,Carleton College
Bill Craine,Trustee,5,0,0,0,410694747,173258,Carleton College
DaVId M Diamond,Trustee,5,0,0,0,410694747,173258,Carleton College
Arnold W Donald,Trustee,5,0,0,0,410694747,173258,Carleton College
Jack W Eugster,Trustee,5,0,0,0,410694747,173258,Carleton College
Maureen G Gupta,Trustee,5,0,0,0,410694747,173258,Carleton College
John F Harris,Trustee,5,0,0,0,410694747,173258,Carleton College
Elise M Holschuh,Trustee,5,0,0,0,410694747,173258,Carleton College
James E Johnson,Trustee,5,0,0,0,410694747,173258,Carleton College
Martha H Kaemmer,Trustee,5,0,0,0,410694747,173258,Carleton College
Leslie B Kautz,Trustee,5,0,0,0,410694747,173258,Carleton College
Arthur D Kowaloff,Trustee,5,0,0,0,410694747,173258,Carleton College
Richard B Kracum,Trustee,5,0,0,0,410694747,173258,Carleton College
Marilyn M McCoy,Trustee,5,0,0,0,410694747,173258,Carleton College
William R McLaughlin,Trustee,5,0,0,0,410694747,173258,Carleton College
Bonnie J MeIVIlle,Trustee,5,0,0,0,410694747,173258,Carleton College
Marc Noel,Trustee,5,0,0,0,410694747,173258,Carleton College
Brad Nordholm,Trustee,5,0,0,0,410694747,173258,Carleton College
Gary T O'Brien,Trustee,5,0,0,0,410694747,173258,Carleton College
Catherine J Pagila,Trustee,5,0,0,0,410694747,173258,Carleton College
Pamela Kiecker Royall,Trustee,5,0,0,0,410694747,173258,Carleton College
Jack W Schuler,Trustee,5,0,0,0,410694747,173258,Carleton College
Margaret C Simms,Trustee,5,0,0,0,410694747,173258,Carleton College
DaVId B Smith,Trustee,5,0,0,0,410694747,173258,Carleton College
Gary L Sundem,Trustee,5,0,0,0,410694747,173258,Carleton College
Caesar F Sweltzer,Trustee,5,0,0,0,410694747,173258,Carleton College
Alan C Thiel,Trustee,5,0,0,0,410694747,173258,Carleton College
R Kirk Weidner,Trustee,5,0,0,0,410694747,173258,Carleton College
Wallace R Weltz,Trustee,5,0,0,0,410694747,173258,Carleton College
Justin B Wender,Trustee,5,0,0,0,410694747,173258,Carleton College
Bonnie M Wheaton,Trustee,5,0,0,0,410694747,173258,Carleton College
Michael L Wiebolt,Trustee,5,0,0,0,410694747,173258,Carleton College
Mark R Williams,Trustee,5,0,0,0,410694747,173258,Carleton College
Steven G Poskanzer,PreSIdent,60,408202,0,102446,410694747,173258,Carleton College
Frederick A Rogers,Vice PreSIdent and Treasurer,50,291063,0,40949,410694747,173258,Carleton College
Gayle McJunkin,Interim VP for External Relations,50,176807,0,26608,410694747,173258,Carleton College
Joe A Hargis II,Interim VP for External Relations,40,161594,0,54523,410694747,173258,Carleton College
Beverly Nagel,Dean of the College,50,238468,0,30967,410694747,173258,Carleton College
M H Wagner,VP Student Development and Dean of Students,40,186027,0,25840,410694747,173258,Carleton College
Paul Thiboutot,VP and Dean of AdmISSIon/FinanCIal Aid,40,178173,0,32328,410694747,173258,Carleton College
Jason Matz,Director of Investments,40,340490,0,26825,410694747,173258,Carleton College
Andrew Christensen,Director of Private Markets,40,208529,0,47239,410694747,173258,Carleton College
LOUIS E Newman,ASSOCIate Dean of the College,40,192802,0,35883,410694747,173258,Carleton College
Susan Singer,Professor of Natural SCIences,40,177983,0,43300,410694747,173258,Carleton College
Joel Weisberg,Professor of PhySIcs and Astronomy,40,173167,0,36533,410694747,173258,Carleton College
Donald A Hasseltine,Secretary/VP for External Relations,50,163872,0,40990,410694747,173258,Carleton College
