name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
FREDERICK V MOORE,PRESIDENT,40,225804,0,47342,420680404,153001,Buena Vista University
JOHN ASCHENBRENNER,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
EDWARD BODAKEN,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
MARC BRINKMEYER,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
PHILLIP BROWN,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
TIMOTHY BROWN,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
SCOTT BYERS,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
DOUGLAS CLAUSEN,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
KITTY CONOVER,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
ROBERT CRAMER,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
GLENN DESTIGTER,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
BECKI DRAHOTA,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
DAVID DVERGSTEN,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
JAMES HAAHR,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
LAURA HORN,TRUSTEE,0,0,0,0,420680404,153001,Buena Vista University
MARK MCMANIGAL,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
NORMAN NIELSEN,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
MICHAEL PIERCE,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
CORDELL PETERSON,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
MARK PETERSON,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
STEPHEN RUSSELL,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
BERNIE SAGGAU,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
QUENTIN WITTROCK,TRUSTEE,1,0,0,0,420680404,153001,Buena Vista University
DAVID EVANS,VP FOR ACADEMIC AFFAIRS,40,151610,0,26187,420680404,153001,Buena Vista University
MARGARET MCKEON,VP FOR STUDENT AFFAIRS,40,191480,0,24730,420680404,153001,Buena Vista University
MICHAEL FRANTZ,VP FOR ENROLLMENT MANAGEMENT,40,176385,0,24138,420680404,153001,Buena Vista University
ELIZABETH MERTEN,VP FOR BUSINESS SERVICES,40,155770,0,25589,420680404,153001,Buena Vista University
KENNETH CONVERSE,VP FOR INSTITUTIONAL ADVANCEMENT,40,172283,0,27522,420680404,153001,Buena Vista University
SUSAN KALSOW,ASSOCIATE VP OF ACADEMIC AFFAIRS,40,183203,0,23663,420680404,153001,Buena Vista University
MICHAEL WHITLATCH,"DEAN, SCHOOL OF COMMUNICATION & ARTS",40,113023,0,12042,420680404,153001,Buena Vista University
ASHOK SUBRAMANIAN,"DEAN, SCHOOL OF BUSINESS",40,149256,0,23612,420680404,153001,Buena Vista University
PAUL THEOBALD,"DEAN, SCHOOL OF EDUCATION",40,121044,0,21605,420680404,153001,Buena Vista University
ROBERT FERGUSON,PROFESSOR OF PSYCHOLOGY,40,113869,0,16595,420680404,153001,Buena Vista University
