name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
KENT L HENNING,TRUSTEE & PRESIDENT,40,312827,0,78335,420681049,153375,Grand View University
PAUL E SCHICKLER,TRUSTEE & CHAIR,1,0,0,0,420681049,153375,Grand View University
ROBERT L MAHAFFEY,TRUSTEE &TREASURER,1,0,0,0,420681049,153375,Grand View University
JAMES W NOYCE,TRUSTEE & VICE CHAIR,1,0,0,0,420681049,153375,Grand View University
MARTHA A WILLITS,TRUSTEE & SECRETARY,1,30000,0,0,420681049,153375,Grand View University
KAREN J BRODIE,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
MICHAEL L BURK,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
ERIC W BURMEISTER,TRUSTEE,1,4800,0,0,420681049,153375,Grand View University
GREGORY J BURROWS,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
C DEAN CARLSON,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
MARY C COFFIN,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
PETER CROWNIE,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
ERIC T CROWELL,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
ROBERT S DEWAAY,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
BAOJ DO,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
VIRGIL B ELINGS,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
BRETT E HARMAN,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
SCOTT M HARRISON,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
NICK J HENDERSON,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
RICHARD HURD,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
CAREY G JURY,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
JOSE M LARACUENTE,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
ANITA NORIAN,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
GARY E PALMER,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
KURT E RASMUSSEN,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
DAWN TAYLOR,TRUSTEE,1,0,0,0,420681049,153375,Grand View University
CAROL M BAMFORD,VP MARKETING,40,136665,0,23400,420681049,153375,Grand View University
DEBBIE BARGER,VP ENROLLMENT MGMT,40,134573,0,38943,420681049,153375,Grand View University
WILLIAM H BURMA,VP ADVANCEMENT,40,134137,0,29524,420681049,153375,Grand View University
JAY B PRESCOTT,VP STUDENT AFFAIRS,40,113243,0,39677,420681049,153375,Grand View University
MARY ELIZABETH STIVERS,VP ACADEMIC AFFAIRS & PROV,40,181337,0,19795,420681049,153375,Grand View University
ADAM VOIGTS,VP ADMIN/FINANCE,40,143914,0,30779,420681049,153375,Grand View University
