name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) JEFF HOLLOWAY,CHAIRMAN,3,0,0,0,476025325,181543,Summit Christian College
(2) LARRY BERLIN,VICE CHAIRMAN,1,0,0,0,476025325,181543,Summit Christian College
(3) HERB RAINEY,SECRETARY,1,0,0,0,476025325,181543,Summit Christian College
(4) ANDY GUDAHL,TREASURER,1,0,0,0,476025325,181543,Summit Christian College
(5) WES GUDAHL,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(6) ANGIE ARNOLD,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(7) JUNE MCQUEEN,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(8) WILLIE COOP,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(9) JONATHAN SENG,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(10) LYLE HINEBAUCH,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(11) LARITA VANBOSKIRK,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(12) JOHN STEELE,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(13) MERLE POWELL,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(14) RICK DERR,BOARD MEMBER,1,0,0,0,476025325,181543,Summit Christian College
(15) DAVID PARRISH,PRESIDENT/ TOP MANAGEMENT,40,36757,0,15000,476025325,181543,Summit Christian College
(16) THOMAS S GRIBBLE,ACADEMIC DEAN/ TOP FINANCI,40,26581,0,16625,476025325,181543,Summit Christian College
