name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
CHERYL E GLEASON,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
CHRISTOPHER L HOLT,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
DR STANLEY A BOWLING,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
DR JAMES BRYANT,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
BEN FOSTER,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
R PATRICK GAUGHAN,CHAIR FACILI,2,0,0,0,480543715,155900,Southwestern College
SUE A LEWIS HALE,VICE CHAIR/T,2,0,0,0,480543715,155900,Southwestern College
R ALAN HAYWOOD,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
SCOTT C HECHT,INST ADV /T,2,0,0,0,480543715,155900,Southwestern College
RONALD W HOLT,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
VICKI BOND,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
ROZIA MCKINNEY FOSTER,AT LARGE/TRU,2,0,0,0,480543715,155900,Southwestern College
BISHOP SCOTT JONES,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
RODNEY C KREIE,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
TERESA MORROW,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
MICHAEL D LEWIS,CH ACADEMIC,2,0,0,0,480543715,155900,Southwestern College
DR CHARLES M MADDIN,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
STEVE A MCSPADDEN,SECRETARY/ BD,2,0,0,0,480543715,155900,Southwestern College
FLORENCE METCALF,CHR STUDENT,2,0,0,0,480543715,155900,Southwestern College
REV DANNY J MOSS,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
REV GARY BROOKS,DIST SUPER/,2,0,0,0,480543715,155900,Southwestern College
DR MICHAEL KIM MOORE,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
JAMES L RICHARDSON,CHR BUSINES,2,0,0,0,480543715,155900,Southwestern College
DR DAVID E SMITH,CHAIR/BD OF,2,0,0,0,480543715,155900,Southwestern College
ERIC J KURTZ,AT LARGE/TRU,2,0,0,0,480543715,155900,Southwestern College
F DAVID PECK,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
REV THOMAS WALLRABENSTEIN,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
WARREN D ANDREAS,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
PHYLLIS J BIGLER,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
COURTNEY J BROWN,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
DAVID T BURNETT,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
DR MARILYN A CORBIN,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
DR JAMES L FISHBACK,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
MICHAELJ FOSTER,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
JOSHUA G MOORE,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
REV WILLIAM TISDALE,BOARD OF TRU,2,0,0,0,480543715,155900,Southwestern College
RICHARD MERRIMAN,PRESIDENT,40,219054,0,16552,480543715,155900,Southwestern College
PAMELA MONACO,VP FOR PROFE,40,137206,0,11989,480543715,155900,Southwestern College
DEBORAH L STOCKMAN,ASSOC VP PRO,40,101611,0,5401,480543715,155900,Southwestern College
BEN LIM,VP INFO TEC,40,101031,0,5369,480543715,155900,Southwestern College
