name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) BARBARA BINFORD,TRUSTEE/EXEC COM SECRETARY,1,0,0,0,480554341,155070,Barclay College
(2) JOHN BRAWNER,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(3) JON BRIDGES,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(4) DEWAYNE BRYAN,TRUSTEE/EXEC COMMITTEE,1,0,0,0,480554341,155070,Barclay College
(5) RON BRYAN,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(6) REV RICHARD CARLSON,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(7) SHELDON CARPENTER,TRUSTEE/EXEC COMMITTEE,1,0,0,0,480554341,155070,Barclay College
(8) LINDA CLARKSON,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(9) ELMER DAVIS,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(10) STEVE DAVIS,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(11) DR JIM DAY,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(12) BROCKIE FOLLETTE,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(13) DON HICKEY,TRUSTEE/EXEC COMMITTEE,1,0,0,0,480554341,155070,Barclay College
(14) TRENT JACKS,TRUSTEE/VICE CHAIRMAN,1,0,0,0,480554341,155070,Barclay College
(15) DALE JOHNSON,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(16) RICHARD KELSEY,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(17) JEFF KINNIBURGH,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(18) CHELLE LEININGER,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(19) MATTHEW D MACY,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(20) DUANE MORFORD,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(21) DAVID ROBINSON,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(22) CAROLYN TAYLOR,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(23) DEAN THOMPSON,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(24) MARJORIE THOMPSON,TRUSTEE/CHAIRWOMAN,1,0,0,0,480554341,155070,Barclay College
(25) BILL WELLS,TRUSTEE,1,0,0,0,480554341,155070,Barclay College
(26) JOHN PLANK,HONORARY MEMBER,1,0,0,0,480554341,155070,Barclay College
(27) JOHN LEMMONS,HONORARY MEMBER,1,0,0,0,480554341,155070,Barclay College
(28) PAUL ROSS,HONORARY MEMBER,1,0,0,0,480554341,155070,Barclay College
(29) ROYCE FRAZIER,PRESIDENT,40,96330,0,0,480554341,155070,Barclay College
