name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Jeffrey A Sine,Chair,2,0,0,0,530196549,131159,American University
Jack C Cassell,Vice Chair,2,0,0,0,530196549,131159,American University
Gary M Abramson,Trustee,2,0,0,0,530196549,131159,American University
Gina F Adams,Trustee,2,0,0,0,530196549,131159,American University
Stephanie M Bennett—Smith,Trustee,2,0,0,0,530196549,131159,American University
Patrick Butler,Trustee,2,0,0,0,530196549,131159,American University
Kim Cape,Trustee,2,0,0,0,530196549,131159,American University
Gary D Cohn,Trustee,2,0,0,0,530196549,131159,American University
Pamela M Deese,Trustee,2,0,0,0,530196549,131159,American University
DaVId R Drobis,Trustee,2,0,0,0,530196549,131159,American University
Marc N Duber,Trustee,2,0,0,0,530196549,131159,American University
Hani M S Far5i,Trustee,2,0,0,0,530196549,131159,American University
Thomas A Gottschalk,Trustee,2,0,0,0,530196549,131159,American University
Gisela B Hubennan,Trustee,2,0,0,0,530196549,131159,American University
C Nicholas Keating Jr,Trustee,2,0,0,0,530196549,131159,American University
Margery Kraus,Trustee,2,0,0,0,530196549,131159,American University
Gerald Bruce Lee,Trustee,2,0,0,0,530196549,131159,American University
Charles H Lydecker,Trustee,2,0,0,0,530196549,131159,American University
Robyn Rafferty Mathias,Trustee,2,0,0,0,530196549,131159,American University
Marcus Matthews,Trustee,2,0,0,0,530196549,131159,American University
Alan L Meltzer,Trustee,2,0,0,0,530196549,131159,American University
Regina L Muehlhauser,Trustee,2,0,0,0,530196549,131159,American University
Peter L Scher,Trustee,2,0,0,0,530196549,131159,American University
Cornelius M KenNin,PreSIdent,50,917094,0,43804,530196549,131159,American University
Scott A Bass,Provost,50,573613,0,47893,530196549,131159,American University
Donald L Myers,CFO/ VP Finance/ Treasurer,50,751774,0,39863,530196549,131159,American University
Mary E Kennard,VP & Univer5ity Counsel,50,455072,0,35573,530196549,131159,American University
Gail Hanson,VP Campus Life,5,350037,0,28250,530196549,131159,American University
Thomas] Minar,VP Development & Alumni Rel,50,505445,0,31079,530196549,131159,American University
Teresa Flannery,VP of Communication,50,226124,0,45336,530196549,131159,American University
Claudio M Grossman,Dean & Professor,50,485081,0,35264,530196549,131159,American University
DaVId G Swartz,CIO,50,308321,0,39962,530196549,131159,American University
Robert D Dinerstein,Professor,50,311423,46866,0,530196549,131159,American University
Barbara Romzek,Dean & Professor,50,292241,52282,0,530196549,131159,American University
Brenda Smith,Professor,50,294611,28737,0,530196549,131159,American University
