name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
JOHN J DEGIOIA PHD C79 G95,PRESIDENT & DIRECTOR,40,702675,0,172629,530196603,131496,Georgetown University
ALINE OCONNOR C77,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
ALONZO H MOURNING C92,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
DAVID G BOOTH,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
HENRY A FERNANDEZ,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
HUGH B PRICE,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
JANE HOPKINS CAREY C79,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
JOHN D IDOL,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
JOSEPH DELLA ROSA,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
JUSTIN B SMITH F91,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
KARA ROSS C88,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
KENNETH A SAMET,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
KEVIN M WARREN C84,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
LAURENCE A TOSI C90 MBA94 L94,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
MARY BETH CONNELL MD M89,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
MAURICE BW BRENNINKMEIJER B86,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
MICHAEL L CHASEN MBA95,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
PAUL TAGLIABUE C62,BOARD CHAIR,6,0,0,0,530196603,131496,Georgetown University
PHILIP A MARINEAU C68,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
REV BIENVENIDO NEBRES SJ,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
REV ERNESTO CAVASSA SJ,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
REV JAMES MCCANN SJ,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
REV JOSEPH P PARKES SJ,BOARD VICE CHAIR,4,0,0,0,530196603,131496,Georgetown University
REV STEPHEN V SUNDBORG SJ,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
SR CAROL KEEHAN DC,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
SUSAN L BOSTROM,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
THEODORE J LEONSIS C77,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
THOMAS A REYNOLDS III B74,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
THOMASJ EDELMAN,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
TIMOTHY J ONEILL L77,BOARD MEMBER,4,0,0,0,530196603,131496,Georgetown University
VICTOR R WRIGHT,BOARD MEMBER,2,0,0,0,530196603,131496,Georgetown University
WILLIAM J DOYLE C72,BOARD VICE CHAIR,4,0,0,0,530196603,131496,Georgetown University
WILLIAM R BERKLEY,BOARD VICE CHAIR,4,0,0,0,530196603,131496,Georgetown University
DAVID R RUBENSTEIN,VP OF FINANCE & TREASURER,40,382677,0,24196,530196603,131496,Georgetown University
EDWARD M QUINN,SECRETARY,40,237404,0,29156,530196603,131496,Georgetown University
ROBERT M GROVES,PROVOST,40,524211,0,32338,530196603,131496,Georgetown University
CHRISTOPHER LAUGOSTINI,CHIEF OPERATING OFFICER,40,620749,0,93446,530196603,131496,Georgetown University
ERIK M SMULSON,VP FOR PUBLIC AFFAIRS,40,248238,0,32254,530196603,131496,Georgetown University
HOWARD J FEDEROFF,EXEC VP HEALTH SCIENCES,40,817268,0,33219,530196603,131496,Georgetown University
LISA BROWN,VP & GENERAL COUNSEL,40,285204,0,25083,530196603,131496,Georgetown University
R BARTLEY MOORE,VP OF ADVANCEMENT,40,251196,0,14156,530196603,131496,Georgetown University
ROSEMARY E KILKENNY,VP DIVERSITY & EQUITY,40,204061,0,34282,530196603,131496,Georgetown University
WILLIAM M TREANOR,EXEC VP FOR LAW CENTER,40,490150,0,34719,530196603,131496,Georgetown University
BROOKS C HOLTOM,MSB PROFESSOR,40,575823,0,34719,530196603,131496,Georgetown University
JOHN R THOMPSON III,MEN'S BASKETBALL COACH,40,3089664,0,32219,530196603,131496,Georgetown University
LOUIS M WEINER,DIRECTOR CANCER CENTER,40,601757,0,34719,530196603,131496,Georgetown University
MICHAEL K BARRY,CHIEF INVESTMENT OFFICER,40,615267,0,276019,530196603,131496,Georgetown University
RICARDO ERNST,MSB PROFESSOR,40,617726,0,79499,530196603,131496,Georgetown University
JAMESJ O'DONNELL,FORMER PROVOST,40,373621,0,28343,530196603,131496,Georgetown University
JANE E GENSTER,FORMER GENERAL COUNSEL,40,300447,0,61279,530196603,131496,Georgetown University
JUDITH C AREEN,FORMER INTERIM VP LAW CENTER DEAN,40,334318,0,32552,530196603,131496,Georgetown University
LISA KRIM,FORMER INTERIM GENERAL COUNSEL,40,195827,0,37192,530196603,131496,Georgetown University
STEPHANIE E TSACOUMIS,FORMER GENERAL COUNSEL,40,116490,0,1705,530196603,131496,Georgetown University
