name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
SIDNEY A RIBEAU PHD,"PRESIDENT, THRU 10/13",40,1040223,0,36741,530204707,131520,Howard University
DR GEORGE K LI'I'I'LETON,BOARD TRUSTEE/FACULTY,40,107442,0,19618,530204707,131520,Howard University
DR RICHARD LWRIGHT,BOARD TRUSTEE/FACULTY,40,105104,0,15222,530204707,131520,Howard University
MR ADDISON BARRY RAND,CHAIRMAN,1,0,0,0,530204707,131520,Howard University
RENEE HIGGINBOTHAM—BROOKS ESQ,VICE CHAIRWOMAN,1,0,0,0,530204707,131520,Howard University
CHARISSE R LILLIE ESQ,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
DR FLORETTA DUKES MCKENZIE,CHAIRWOMAN EMERITA,1,0,0,0,530204707,131520,Howard University
CHAIRWOMAN EMERITA,X,,1,00,0,530204707,131520,Howard University
DR HAROLD P FREEMAN MD,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
DR MARIAN JOHNSON—THOMPSON,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
DR REED VTUCKSON MD,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
LARKIN ARNOLD JR ESQ,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR CASTELL ABNER,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR GERALD D PROTHRO,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR GREGORY A WHITE,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR JOHN D ZEGLIS,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR MARK A L MASON,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR NORMAN K JENKINS,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR ROBERT L LUMPKINS,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MR THOMAS W JONES,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MRS BERNAREE P WILEY,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MS AMY S HILLIARD,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MS DEBBIE K ALLEN,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MS JESSYE NORMAN,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
MS LILIANE BEDFORD,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
STACEY J MOBLEY ESQ,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
THE HONORABLE L DOUGLAS WILDER,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
THE HONORABLE M KASIM REED,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
VERNON E JORDAN JR ESQ,BOARD TRUSTEE,1,0,0,0,530204707,131520,Howard University
DR JOHN E JACOB,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
RICHARD D PARSONS ESQ,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
MR FRANK SAVAGE,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
THE HONORABLE FRANKIE M FREEMAN,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
MARTIN D PAYSON ESQ,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
WAYMAN F SMITH III ESQ,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
THE HONORABLE GABRIELLE K MCDONALD,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
GENERAL COLIN L POWELL USA,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
MR EARL G GRAVES SR,BOARD TRUSTEE EMERITI,1,0,0,0,530204707,131520,Howard University
WAYNE FREDERICK MDPROVOST,"INTERIM PRESIDENT, 11/13—06/",40,784427,0,32150,530204707,131520,Howard University
KURT SCHMOKE ESQ,GENERAL COUNSEL,40,274377,0,17101,530204707,131520,Howard University
ARTIS HAMPSHIRE—COWAN ESQ,SENIOR VP AND SECRETARY,40,246513,0,16002,530204707,131520,Howard University
NESTA BERNARD,VP UNIVERSITY ADVANCEMENT,40,215811,0,28384,530204707,131520,Howard University
BARBARA GRIFFIN PHD,VP STUDENT AFFAIRS,40,179071,0,27586,530204707,131520,Howard University
MICHAEL MCFADDEN,INTERIM VP HUMAN RESOURCES,40,198001,0,11863,530204707,131520,Howard University
CONSTANCE ELLISON,INTERIM VICE PRESIDENT FOR STUDENT AFFAIRS,40,182321,0,16048,530204707,131520,Howard University
JOHN GORDON,INTERIM CHIEF FINANCIAL OFFICER & TREASURER,40,134565,0,16374,530204707,131520,Howard University
MICHAEL WINSTON,PROVOST/CHIEF ACADEMIC OFF,40,71574,0,0,530204707,131520,Howard University
PROVOST/CHIEF ACADEMIC OFF,X,,40,00,0,530204707,131520,Howard University
ROBERT TAROLA CPA,"FORMER CFO/TREASURER, SEE SCH L",40,0,0,0,530204707,131520,Howard University
EDWARD CORNWELL III MD,SURGEON —IN—CHIEF,40,828827,0,33932,530204707,131520,Howard University
DAMIREZ FOSSETI' MD,CHAIR OF NEUROSURGERY,40,509582,0,42352,530204707,131520,Howard University
ROBERT COPELAND,CHAIR OF OPHTHALMOLOGY,40,465779,0,38186,530204707,131520,Howard University
ANDRE DUERINCKX,CHAIR OF RADIOLOGY,40,473795,0,28426,530204707,131520,Howard University
LASALLE LEFFALL MD,FORMER PROVOST/CHIEF ACADE,40,209918,0,23899,530204707,131520,Howard University
