name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
CHARLES A LEDSINGER JR,RECTOR,7,0,0,0,540505965,233374,University of Richmond
ALLISON P WEINSTEIN,VICE—RECTOR,7,0,0,0,540505965,233374,University of Richmond
EDWARD L AYERS,PRESIDENT,40,635266,0,226342,540505965,233374,University of Richmond
STEPHEN J ARONSON,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
R LEWIS BOGGS,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
ALAN W BREED,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
TIMOTHY W FINCHEM,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
ROGER L GREGORY,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
SUSAN M HUMPHREVILLE,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
JEFFREY M LACKER,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
ANN CAROL MARCHANT,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
HERBERT H MCDADE III,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
WILLIAM H MCLEAN,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
LELAND D MELVIN,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
LOUIS W MOELCHERT JR,TRUSTEE (AS OF 7/2013),2,0,0,0,540505965,233374,University of Richmond
SD ROBERTS MOORE,TRUSTEE (AS OF 7/2013),2,0,0,0,540505965,233374,University of Richmond
PAUL B QUEALLY,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
SUSAN G QUISENBERRY,TRUSTEE (AS OF 7/2013),2,0,0,0,540505965,233374,University of Richmond
GREGORY S ROGOWSKI,TRUSTEE (AS OF 7/2013),2,0,0,0,540505965,233374,University of Richmond
LEONARD W SANDRIDGE JR,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
MICHAEL S SEGAL,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
SUZANNE F THOMAS,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
LYNNE E WASHINGTON,TRUSTEE,2,0,0,0,540505965,233374,University of Richmond
ANN LLOYD BREEDEN,SECRETARY,40,183181,0,30397,540505965,233374,University of Richmond
DAVID B HALE,VP BUSINESS & FINANCE/TREAS,40,135664,0,18813,540505965,233374,University of Richmond
STEPHEN ALLRED,PROVOST & VP ACAD AFFAIRS,40,333426,0,53941,540505965,233374,University of Richmond
STEPHEN KNEELEY,"CEO, SMC",40,1105692,0,66956,540505965,233374,University of Richmond
ROBIN BLANDFORD,"PRESIDENT, SMC",40,1537820,0,39020,540505965,233374,University of Richmond
KATHRYN MONDAY,"VP, INFO SVCS",40,230651,0,29395,540505965,233374,University of Richmond
STEPHEN BISESE,"VP, STUDENT DEVELOPMENT",40,207670,0,37318,540505965,233374,University of Richmond
LORRAINE SCHUYLER,CHIEF OF STAFF,40,180391,0,37135,540505965,233374,University of Richmond
ANNE TESSIER,VP ENROLLMENT MGMT,40,217812,0,30063,540505965,233374,University of Richmond
KATHLEEN SKERRETI',"DEAN, ARTS & SCIENCES",40,225761,0,28414,540505965,233374,University of Richmond
WENDY PERDUE,"DEAN, LAW",40,350300,0,51919,540505965,233374,University of Richmond
CHRISTOPHER MOONEY,BASKETBALL COACH,40,751215,0,466826,540505965,233374,University of Richmond
STEVEN HENDERSON,"DIRECTOR, SMC",40,491172,0,16357,540505965,233374,University of Richmond
MA'I'I'HEW WERNER,"DIRECTOR, SMC",40,434098,0,34966,540505965,233374,University of Richmond
STEPHEN ADDISS,"PROFESSOR, ART HISTORY",40,417878,0,18659,540505965,233374,University of Richmond
KEVIN STOUDT,"DIRECTOR, SMC",40,412473,0,39959,540505965,233374,University of Richmond
HOSSEIN SADID,FMR VP BUS & FINANCE/TREAS,40,361724,0,29399,540505965,233374,University of Richmond
ANDREW NEWCOMB,"FMR DEAN, ARTS & SCIENCES",40,208448,0,31588,540505965,233374,University of Richmond
JOHN DOUGLASS,"FORMER DEAN, LAW",40,255000,0,36303,540505965,233374,University of Richmond
