name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
MARIA C ACAR,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
ANNABEL E BARBER,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
THOMAS BARTON,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
CHARLOTTE J BERRY,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
TRACY BURKS—HEALY,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
MARGARET WREN DE ST AUBIN,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
NANCY M DUNBAR,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
KELLY H ELLIS,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
SARAH A FLANAGAN,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
HELEN FORSTER,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
SARAH FRANCISCO,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
ELIZABETH B FREUND,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
SUSAN HOBBS,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
ALISON KAUFMANN,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
JAMES LOTT,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
MARGARET E MCDERMID,CHAIR,0,0,0,0,540506319,232672,Mary Baldwin College
SUSAN A MCLAUGHLIN,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
JANE H MILLER,VICE CHAIR,0,0,0,0,540506319,232672,Mary Baldwin College
SHERRI LSHARPE,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
KAREN SHERMAN,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
KATHERINE LSMALLWOOD,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
JEANINE H THOMAS,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
KELLIE WARNER,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
MARIE A WESTBROOK,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
M SUE WHlTLOCK,TRUSTEE,0,0,0,0,540506319,232672,Mary Baldwin College
PAMELA FOX,PRESIDENT,35,258640,31370,0,540506319,232672,Mary Baldwin College
DAVID MOWEN,EXEC VP FOR FINANCE & ADMIN,35,162131,14857,0,540506319,232672,Mary Baldwin College
LINDA SEESTEDT—STANFORD,VP COLLEGE OF HEALTH SCIENCE,35,175015,5771,0,540506319,232672,Mary Baldwin College
CATHARINE O'CONNELL,VP FOR ACADEMIC AFFAIRS,35,159230,14694,0,540506319,232672,Mary Baldwin College
LISA SHOAF,DIRECTOR OF DOCTORAL PROGRAM IN PT,35,116350,10879,0,540506319,232672,Mary Baldwin College
NATHAN HERZ,DIRECTOR OF OT PROGRAM,35,113195,8600,0,540506319,232672,Mary Baldwin College
RACHEL POTTER,DEAN OF COLLEGE OF EDUCATION,35,110204,9998,0,540506319,232672,Mary Baldwin College
CATHERINE MCPHERSON,ASSOC PROFESSOR,35,101143,3273,0,540506319,232672,Mary Baldwin College
DAVID ATCHLEY,FORMER VP OF INST ADVANCEMENT,35,106623,411,0,540506319,232672,Mary Baldwin College
