name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) DR DAVID L BAILEY JR,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(2) MRS BECKY BECKE'I'I',TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(3) REV DAVID DOCKERY,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(4) DR MICHAEL DUVAL,CHAIR AND TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(5) MR GORDON W GRIMES II,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(6) MR MICHAEL P HARRIS,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(7) REV WILLIAM M HARTSFIELD,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(8) MR ROBERT A HOUCK,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(9) MRS ESTELLE COOKIE JOHNSON,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(10) MR] SIDNEY LANIER JR,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(11) DR CHRISTOPHER E LAWSON,SECRETARY AND TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(12) REV JACK A MARCOM,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(13) MR CAMDEN J MCLAUGHLIN,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(14) MRS SARAH J REID,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(15) MR KENNETH R RUSSELLJR,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(16) MRSCHARLOTI'E E SACRE,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(17) MR WISTAR H TRENT,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(18) MRS SUSAN M TUSSEY,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(19) DR CHARLES O WARREN,TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(20) MR WILLIAM S WINFREY II,VICE CHAIR AND TRUSTEE,1,0,0,0,540568200,231554,Bluefield College
(21) DAVID OLIVE,PRESIDENT,50,167466,0,22705,540568200,231554,Bluefield College
(22) MARY RUTH BLANKENSHIP,VP FOR INSTITUTIONAL ADVAN,50,85766,0,4011,540568200,231554,Bluefield College
(23) DAVID TAYLOR,VP FOR STUDENT DEVELOPMENT,50,68128,0,18062,540568200,231554,Bluefield College
(24) RUSSELL TRENT ARGO,VP FOR ENROLLMENT MANAGEME,50,84856,0,17701,540568200,231554,Bluefield College
(25) LAURA WHITE,VP FOR FINANCE & ADMINISTR,50,69839,0,3532,540568200,231554,Bluefield College
(26) PAMELA MIMI MERRITT,INTERIM VP FOR ACADEMIC AF,50,44171,0,9509,540568200,231554,Bluefield College
(27) CAROLYN LEWIS,DEAN OF NURSING,50,117572,0,10227,540568200,231554,Bluefield College
(28) DR FRANCIS SERIO,DEAN OF THE SCHOOL OF DENT,50,155060,0,7317,540568200,231554,Bluefield College
