name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) DAVID L BERND,DIRECTOR/CHAIRMAN,3,0,3601597,215569,541547408,232885,Sentara College of Health Sciences
(2) ROBERT A BROERMANN,DIRECTOR/TREASURER,4,0,1256843,161559,541547408,232885,Sentara College of Health Sciences
(3) HOWARD P KERN,DIRECTOR/PRESIDENT 5O,2,0,1865703,660096,541547408,232885,Sentara College of Health Sciences
(4) KENNETH M KRAKAUR,DIRECTOR,5,0,1020406,48537,541547408,232885,Sentara College of Health Sciences
(5) JEFFREY P KING,SECRETARY,1,0,598006,77049,541547408,232885,Sentara College of Health Sciences
(6) MARY L BLUNT,CORPORATE VP,40,942023,0,45953,541547408,232885,Sentara College of Health Sciences
(7) ELWOOD B BOONE III,"PRESIDENT, SVGH",40,367061,0,43230,541547408,232885,Sentara College of Health Sciences
(8) JENNIFER A BURROWS,VP,40,310075,0,6657,541547408,232885,Sentara College of Health Sciences
(9) TERESA L EDWARDS,"PRESIDENT, SLH",40,501488,0,56391,541547408,232885,Sentara College of Health Sciences
(10) ROBERT C FIRESTONE,"VP OPERATIONS, SNGH",40,227671,0,35441,541547408,232885,Sentara College of Health Sciences
(11) DEBRA A FLORES,"PRESIDENT, SCH",40,440719,0,20429,541547408,232885,Sentara College of Health Sciences
(12) MICHAEL V GENTRY,CORPORATE VP,40,886093,0,104928,541547408,232885,Sentara College of Health Sciences
(13) ROBERT L GRAVES,"VP/PRESIDENT, SWRMC",40,1142791,0,58654,541547408,232885,Sentara College of Health Sciences
(14) KURT T HOFELICH 4o,"PRESIDENT, SNGH",00,494263,0,42910,541547408,232885,Sentara College of Health Sciences
(15) GENEMARIE W MCGEE,CNO & VP/NURSE EXEC,40,314313,0,43080,541547408,232885,Sentara College of Health Sciences
(16) BERTRAM S REESE,SR VP,40,1088099,0,14634,541547408,232885,Sentara College of Health Sciences
(17) GENE H BURKE MD,VP & EXEC MD,40,482296,0,26045,541547408,232885,Sentara College of Health Sciences
(18) PAUL D CHIDESTER MD,"VP, MEDICAL AFFAIRS",40,451734,0,42520,541547408,232885,Sentara College of Health Sciences
(19) SCO'I'I' A MILLER,"VP, MEDICAL AFFAIRS",40,413128,0,21350,541547408,232885,Sentara College of Health Sciences
(20) THOMAS THAMES MD,"VP, MEDICAL AFFAIRS",40,415683,0,47838,541547408,232885,Sentara College of Health Sciences
(21) JOSEPH A ROBBINS,"VP, MEDICAL AFFAIRS",40,399058,0,55987,541547408,232885,Sentara College of Health Sciences
(22) GRACE R HINES,FORMER OFFICER,0,0,507450,2132,541547408,232885,Sentara College of Health Sciences
(23) STEPHEN D PORTER,FORMER OFFICER & KE,0,0,459975,44785,541547408,232885,Sentara College of Health Sciences
FORMER OFFICER & KE,"X 272,675 41,495",40,40,00,0,541547408,232885,Sentara College of Health Sciences
(24) SYLVIA M RICHENDOLLAR,FORMER OFFICER & KE,40,272675,0,41495,541547408,232885,Sentara College of Health Sciences
FORMER OFFICER & KE,"x 100,741 -5,502",0,40,00,0,541547408,232885,Sentara College of Health Sciences
(25) RAYMOND G TROIANO,FORMER KEY EMPLOYEE,40,0,100741,-5502,541547408,232885,Sentara College of Health Sciences
(26) JOSEPH T BUTZ,FORMER KEY EMPLOYEE,40,385237,0,54257,541547408,232885,Sentara College of Health Sciences
(27) TIMOTHY JENNINGS,FORMER KEY EMPLOYEE,5,300954,0,21381,541547408,232885,Sentara College of Health Sciences
(28) J STEPHEN JULIAN JR,FORMER KEY EMPLOYEE,40,419140,0,64413,541547408,232885,Sentara College of Health Sciences
"EASTERN VIRGINIA MEDICAL SCHOOL PO BOX NORFOLK VA MEDICAL PROF SVCS 19,055,448","MASTERPLAN INC TOPANGA CANYON ROAD CHATSWORTH CA MEDICAL SYS SUPPORT 10,741,550",1980,160266,12787403,0,541547408,232885,Sentara College of Health Sciences
"MORRISON MANAGEMENT SPECIALISTS INC PO BOX MOBILE AL36625 FOOD & FACIL MGMT 12,787,403","ATLANTIC ANESTHESIA INC BUSINESS PARK DRIVE VIRGINIA BEACH VA MEDICAL PROF SVS 6,979,727",160266,9582,91311,10741550,541547408,232885,Sentara College of Health Sciences
