name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Dr Rosalind Fuse—Hall,PreSIdent,40,210000,0,19559,560532296,197993,Bennett College
Mrs Michelle Gethers Clark,Treasurer,1,0,0,0,560532296,197993,Bennett College
Mr Rick Anicetti,Secretary,1,0,0,0,560532296,197993,Bennett College
Mrs Deborah W Foster,ChainNoman,1,0,0,0,560532296,197993,Bennett College
Rev Arnetta Beverly,Trustee,1,0,0,0,560532296,197993,Bennett College
Dr Christy Clayton,Trustee,1,0,0,0,560532296,197993,Bennett College
Mrs Sally Cone,Trustee,5,0,0,0,560532296,197993,Bennett College
Mrs Joyce Martin Dixon,Trustee,1,0,0,0,560532296,197993,Bennett College
Bishop Larry M Goodpaster,Trustee,1,0,0,0,560532296,197993,Bennett College
Dr Trudie Kibbe Reed,Vice—ChainNoman,1,0,0,0,560532296,197993,Bennett College
Mrs Cynthia Hardy,Trustee,1,0,0,0,560532296,197993,Bennett College
Ms Andrea Harris,Trustee,1,0,0,0,560532296,197993,Bennett College
Mrs Carolynn Johnson,Trustee,1,0,0,0,560532296,197993,Bennett College
Ms Su5ie Johnson,Trustee,1,0,0,0,560532296,197993,Bennett College
Dr John C Brunson Jr,Trustee,1,0,0,0,560532296,197993,Bennett College
Mrs Deborah T Love,Trustee,1,0,0,0,560532296,197993,Bennett College
Mrs Debra Plousha—Moore,Trustee,1,0,0,0,560532296,197993,Bennett College
Mrs Annie Tyson Jett PHR,Trustee,1,0,0,0,560532296,197993,Bennett College
Ms Chekesha Kidd,Trustee,1,0,0,0,560532296,197993,Bennett College
Ms Jackie Parker,Trustee,1,0,0,0,560532296,197993,Bennett College
Mrs Denise Turner Roth,Trustee,1,0,0,0,560532296,197993,Bennett College
Mr John T Rowe,Trustee,1,0,0,0,560532296,197993,Bennett College
Mrs Belinda Reed Shannon,Trustee,1,0,0,0,560532296,197993,Bennett College
Mr Eric Watson,Trustee,1,0,0,0,560532296,197993,Bennett College
Mr LeRoy Summers Jr,"Vice PreSIdent, Busmess and Finance",40,110000,0,0,560532296,197993,Bennett College
Dr Rolanda C Burney,Chief of Staff,40,85564,0,0,560532296,197993,Bennett College
Dr Karen Green,"Vice PreSIdent, Enrollment Management/College Registrar",40,82000,0,0,560532296,197993,Bennett College
Dr Joyce Blackwell Johnson,Provost,40,110000,0,0,560532296,197993,Bennett College
Andrena Coleman,"Vice PreSIdent, Administrative SerVIces",40,80000,0,0,560532296,197993,Bennett College
Iris Ramey,"Interim Vice preSIdent, Institutional Advancement",40,79500,0,12462,560532296,197993,Bennett College
