name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) MR BERNARD H WRIGHT,CHAIRMAN,1,0,0,0,560543261,199032,Montreat College
(2) MRS ROSE ANN GANT,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(3) MRS CYNTHIA F ANDERSON,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(4) MR RICHARD MOFFATT,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(5) MR W ALLEN BELL,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(6) MR MARK SNODDY,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(7) DR WILLIAM E DUDLEY,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(8) MS H CLAIRE EFIRD,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(9) REV WILLIAM F GRAHAM IV,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(10) PASTOR GEORGE K LOGAN,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(12) DR POLLY C HAIGLER,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(13) MR WILLIAM HAYNES,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(14) MR JUSTIN P RAMB,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(15) MRS DALE G REID,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(16) MRS DAYLE LSENEFF,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(17) MRS SUZANNE R SLOAN,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(18) MRS LYNNE P VEERMAN,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(19) MR BILLY MITCHELL,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(20) MR SKIP ORSER,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(21) MR ROBERT W WYNNE,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(22) MR H BEJAMIN SCOTT JR,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(23) MR WILLIE R MANGUM JR,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(24) DR JAMES F FULGHUM,TRUSTEE,1,0,0,0,560543261,199032,Montreat College
(25) JOE KIRKLAND,INTERIM PRESIDENT,50,113548,0,19392,560543261,199032,Montreat College
(26) GEOFFREY BREMER,VP FOR FINANCE,50,60922,0,3595,560543261,199032,Montreat College
(27) DAN STRUBLE,PRESIDENT,50,169995,0,39898,560543261,199032,Montreat College
