name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
RT REV PLACID D SOLARI,CHANCELLOR,3,0,0,0,560547498,197984,Belmont Abbey College
REV MSGR MAURICIO WEST,CHAIRMAN,3,0,0,0,560547498,197984,Belmont Abbey College
RICHARD HOEFLING,SECRETARY,3,0,0,0,560547498,197984,Belmont Abbey College
BROTHER TOBIAH ABBOTT OSB,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
EVELYN KELLY ANDERSON,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
KENNETH D BELL,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
THE REVEREND DAVID BROWN OSB,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
RT REV OSCAR BURNETT,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
ROBERT A DESTRO,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
ROBERT W DINEEN,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
SHARON L FOLK,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
REV FRANCES FORSTER,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
MR ROBERT GALLAGHER,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
PAUL L HERNDON,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
RAYMOND JONES,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
CHRISTOPHER KIRCHGESSNER,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
REV JOSEPH W KOTERSKI SJ,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
WILLIAM LAWLER,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
HANS LENGERS,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
MR ROBERT LUDDY,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
DR JEANNE—MARGARET MCNALLY,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
REGINA P MOODY,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
MR PAUL POLKING,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
ROGER REGELBRUGGE,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
EDWARD C RUFF,TRUSTEE,8,0,0,0,560547498,197984,Belmont Abbey College
LOUIS SCHMlTl',TRUSTEE,3,0,0,0,560547498,197984,Belmont Abbey College
MICHAEL SNYDER,TRUSTEE,3,0,0,0,560547498,197984,Belmont Abbey College
MICHAEL SOIGNET,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
PETER TONON,TRUSTEE,1,0,0,0,560547498,197984,Belmont Abbey College
WILLIAM K THIERFELDER,PRESIDENT,60,323209,0,65171,560547498,197984,Belmont Abbey College
WAYNE J SCROGGINS,VP ADM & FINANCE,60,166749,0,19130,560547498,197984,Belmont Abbey College
ALLAN MARK,CFO,60,126497,0,17049,560547498,197984,Belmont Abbey College
RICHARD G SWANSON,VP COLLEGE RELATIONS,50,186629,0,28880,560547498,197984,Belmont Abbey College
ANNE DALY,VP ACADEMIC AFFAIRS,50,171330,0,12713,560547498,197984,Belmont Abbey College
RITA LEWIS,CORPORATE SECRETARY,40,43244,0,9638,560547498,197984,Belmont Abbey College
