name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Judy DaVIs,Trustee,0,0,0,0,570324915,217934,Columbia College
Rev Quay W Adams,Trustee,0,0,0,0,570324915,217934,Columbia College
Wanda Bigham,Trustee,0,0,0,0,570324915,217934,Columbia College
Rev Lee C Bines,Trustee,0,0,0,0,570324915,217934,Columbia College
Helen N Grant,Trustee,0,0,0,0,570324915,217934,Columbia College
Edward Sellers,Trustee,0,0,0,0,570324915,217934,Columbia College
Jean E Duke,Trustee,0,0,0,0,570324915,217934,Columbia College
Cynthia Pryor Hardy,Trustee,0,0,0,0,570324915,217934,Columbia College
Mary Cantando,Trustee,0,0,0,0,570324915,217934,Columbia College
DaVId T Collier,Trustee,0,0,0,0,570324915,217934,Columbia College
Rebecca Laffitte,Trustee,0,0,0,0,570324915,217934,Columbia College
Kay P Phillips,Trustee,0,0,0,0,570324915,217934,Columbia College
PatrICIa Stone Wood,Trustee,0,0,0,0,570324915,217934,Columbia College
John H Lumpkin Jr,Trustee,0,0,0,0,570324915,217934,Columbia College
Carol Rich Storey,Trustee,0,0,0,0,570324915,217934,Columbia College
James C Meadors,Trustee,0,0,0,0,570324915,217934,Columbia College
Jeffrey Selig,Trustee,0,0,0,0,570324915,217934,Columbia College
Marguerite Willis,Trustee,0,0,0,0,570324915,217934,Columbia College
Bishop Mary Virginia Taylor,Trustee,0,0,0,0,570324915,217934,Columbia College
Rev Scott Middleton,Trustee,0,0,0,0,570324915,217934,Columbia College
Danielle S Walsh,Trustee,0,0,0,0,570324915,217934,Columbia College
Claire Wilson Yarborough,Trustee,0,0,0,0,570324915,217934,Columbia College
Toby W Goodlett,Trustee,0,0,0,0,570324915,217934,Columbia College
Marlena Redfern Myers,Trustee,0,0,0,0,570324915,217934,Columbia College
Carol Hampton Rasco,Trustee,0,0,0,0,570324915,217934,Columbia College
John CB Smlth Jr,Trustee,0,0,0,0,570324915,217934,Columbia College
Carol A Stewart,Trustee,0,0,0,0,570324915,217934,Columbia College
ElIzabeth A DInndorf,PreSIdent,40,177158,0,26284,570324915,217934,Columbia College
Laune B Hopkins,Provost,40,102965,0,25806,570324915,217934,Columbia College
Amy Lanler,VP — Advancement,5,91808,0,21978,570324915,217934,Columbia College
Ken Huus,VP — Enrollment Mgmt,40,31349,0,6245,570324915,217934,Columbia College
John E SIrcy,VP — FInance & Admln,40,28749,0,2094,570324915,217934,Columbia College
Chrls Burkett,D|V|S|0n Head,40,103743,0,15497,570324915,217934,Columbia College
John D Jones,Former VP—Flnan,0,134372,0,12664,570324915,217934,Columbia College
