name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Peter D Miller,Chair,1,0,0,0,580566143,139199,Brenau University
Philip A Wilheit Sr,Vice Chair,1,0,0,0,580566143,139199,Brenau University
James A Walters,Secretary,1,0,0,0,580566143,139199,Brenau University
Carole Ann Carter Daniel,Treasurer,1,0,0,0,580566143,139199,Brenau University
Dr Gale] Allen,Trustee,1,0,0,0,580566143,139199,Brenau University
Raymond H Burch,Trustee,1,0,0,0,580566143,139199,Brenau University
Robin Smith Dudley,Trustee,1,0,0,0,580566143,139199,Brenau University
Kathryn Dunlap,Trustee,1,0,0,0,580566143,139199,Brenau University
Emilie Henderson Howard,Trustee,1,0,0,0,580566143,139199,Brenau University
M Douglas Ivester,Trustee,1,0,0,0,580566143,139199,Brenau University
Anna A Jacobs,Trustee,1,0,0,0,580566143,139199,Brenau University
Angela B Johnston,Trustee,1,0,0,0,580566143,139199,Brenau University
Emily Lawson,Trustee,1,0,0,0,580566143,139199,Brenau University
Ben E Lilly,Trustee,1,0,0,0,580566143,139199,Brenau University
James E Mathis Jr,Trustee,1,0,0,0,580566143,139199,Brenau University
Steve McKibbon,Trustee,1,0,0,0,580566143,139199,Brenau University
James H Moore,Trustee,1,0,0,0,580566143,139199,Brenau University
Betty Verson Norton,Trustee,1,0,0,0,580566143,139199,Brenau University
Gary L Riley,Trustee,1,0,0,0,580566143,139199,Brenau University
Lawrence B Schrage,Trustee,1,0,0,0,580566143,139199,Brenau University
DaVId F Seng,Trustee,1,0,0,0,580566143,139199,Brenau University
Erin M Seng,Trustee,1,0,0,0,580566143,139199,Brenau University
Gail A Smith,Trustee,1,0,0,0,580566143,139199,Brenau University
Mike Smith,Trustee,1,0,0,0,580566143,139199,Brenau University
Charles A Smithgall III,Trustee,1,0,0,0,580566143,139199,Brenau University
Shay English Stafford,Trustee,1,0,0,0,580566143,139199,Brenau University
Jane P Suggs,Trustee,1,0,0,0,580566143,139199,Brenau University
Bob Swoszowski,Trustee,1,0,0,0,580566143,139199,Brenau University
Stuart R Virgin,Trustee,1,0,0,0,580566143,139199,Brenau University
Dr Edward L Schrader Jr,PreSIdent,40,522355,0,70271,580566143,139199,Brenau University
Dr DaVId Barnett,Sr VP & CFO,40,171356,0,18852,580566143,139199,Brenau University
Scott A Briell,Sr VP Enrollment,40,172851,0,18302,580566143,139199,Brenau University
Dr Nancy Krippel,Provost & VPAA,40,170322,0,30703,580566143,139199,Brenau University
Jack Matthew Thomas,VP for External Relations,40,141267,0,33823,580566143,139199,Brenau University
William Lightfoot,"Dean, Busmess & Mass Comm",40,121047,0,9845,580566143,139199,Brenau University
Dr Gale H Starich,"Dean, School of Health & SCIence",40,126673,0,11035,580566143,139199,Brenau University
