name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
WILLIAM UNDERWOOD,PRESIDENT,55,344922,0,0,580566167,140447,Mercer University
DAVID E HUDSON,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Richard A Doc Schneider,CHAIR OF THE BOARD,1,0,0,0,580566167,140447,Mercer University
Curtis G Anderson,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
William H Anderson,DIRECTOR,11,0,0,0,580566167,140447,Mercer University
G Marshall Butler Sr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
James Earl Carter Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Milton L Cruz,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
W Homer Drake Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
William A Fickling Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Benjamin W Griffith III,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Robert F Hatcher Sr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Thomas W Malone,CHAIR OF EXECUTIVE COMMITTEE,1,0,0,0,580566167,140447,Mercer University
J Thomas McAfee III,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
William Anthony Moye,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
J Reg Murphy,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
M Diane Owens,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Robert L Steed,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Julie Pennington—Russell,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Barbara Baugh,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
James A Bishop,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Thomas P Bishop,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
NeVIlle Callam,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
William Coates Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Claude M Kicklighter,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Yvette Miller,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Miller Peterson Robinson,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
W LOUIS Sands,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
William LSelf,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
James C Elder Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Raymond M Warren III,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
DaVId E LInch,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Cathy Callaway Adams,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
T Michael Crook,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Jerry S Wilson Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
John W Collier,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
James H Cowart,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
DWIghtJ DaVIs,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Linda WIllIs Eydt,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
W Mansfield Jennings Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
N Dudley Horton Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Jackson P Turner Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Kellie R Appel,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Thomas B Black,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Nancy Grace,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Holly McCorkle Jones,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
J Curtis LeWIs III,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Carolyn Townsend McAfee,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Howell LWatkIns II,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Dr Spencer B King,DIRECTOR,111,0,0,0,580566167,140447,Mercer University
Zell B Miller,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Hugh P Thompson,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Gene Gabbard,DIRECTOR,0,0,0,0,580566167,140447,Mercer University
James W Thomas Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
Marc Treadwell,DIRECTOR,1,4543,0,0,580566167,140447,Mercer University
Heather Darden,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
AV Elliott,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
William J Ireland Jr,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
MALCOLM S BURGESS JR,DIRECTOR,1,0,0,0,580566167,140447,Mercer University
JAMES NETHERTON,EXEC VP OF ADMIN & FINANCE,55,288093,45108,0,580566167,140447,Mercer University
DAVID SCOTT DAVIS,PROVOST/PROFESSOR,55,275656,51696,0,580566167,140447,Mercer University
PENNY ELKINS,SR VP FOR ENROLLMENT MGMT/PROF,55,239803,43309,0,580566167,140447,Mercer University
RICHARD SWINDLE,SR VP FOR ATLANTA,55,222392,42590,0,580566167,140447,Mercer University
WILLIAM SOLOMON IV,SR VP AND GENERAL COUNSEL,55,218799,41718,0,580566167,140447,Mercer University
JULIA DAVIS,ASSO VP — FINANCE & TREASURER,55,141250,16078,0,580566167,140447,Mercer University
ASSO VP — FINANCE & TREASURER,"x 198,512 42,269",,55,0,0,580566167,140447,Mercer University
JOHN PATTERSON,SR VP FOR UNIV ADVANCEMENT,55,198512,42269,0,580566167,140447,Mercer University
WILLIAM BINA,DEAN,55,363862,44557,0,580566167,140447,Mercer University
DAVID BARWICK,"EXECUTIVE DIRECTOR, MERC",55,235940,70642,0,580566167,140447,Mercer University
LARRY BRUMLEY,SR VP FOR MKTG & COMMUNICATION,55,211714,40344,0,580566167,140447,Mercer University
HEWITI' MATTHEWS,DEAN/SR VP FOR HEALTH SCIENCES,55,273654,47763,0,580566167,140447,Mercer University
Lake Lambert,Dean Coll Lib Arts,1,149206,37197,0,580566167,140447,Mercer University
Dean Coll Lib Arts,"x 1,104,860 27,958",,55,0,0,580566167,140447,Mercer University
JOHN HAWKINS,ASSOCIATE PROFESSOR,55,1104860,27958,0,580566167,140447,Mercer University
JOHN HUDSON,PROFESSOR,55,558526,39215,0,580566167,140447,Mercer University
AHMED SHAH,ASSOCIATE PROFESSOR,55,473343,33870,0,580566167,140447,Mercer University
