name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Lauri Jo Bennett,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Gary Brady,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Richard Brown,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Gary Campbell,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Aubrey Daniels,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Ken Dowling,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Fred Gilder,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Ray Goff,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Bill Grant,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Kenneth Grant,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
DaVId Gunn,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Karl Hay,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Michael Jenkins,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Bucky Kennedy,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Jimmy Michael,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Schel Paulk,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rick Payne,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Russ Pierce,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Michael Pigg,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Lennie Pye,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Tim Redding,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Randy Rodgers,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Freddie Smith,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Ray Sullivan,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Bobby Thompson,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Gilbert Westberry,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Dr Robert White,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Dr Jay Williams,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Rev Dannie Williams,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Harvey WIllIs,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Linda Yawn,Trustee,50,0,0,0,580619030,139205,Brewton-Parker College
Dr Ergun Caner,PreSIdent (1/1/14 — Present),40,0,0,0,580619030,139205,Brewton-Parker College
Nicole Shepard,VP of Finance & Administration,40,57760,0,0,580619030,139205,Brewton-Parker College
Dr Michel Simoneaux,Immediate Past Pres (6/30—12/31/13),40,141386,0,0,580619030,139205,Brewton-Parker College
Randy Minton,Immediate Past VP of Finance & Admin,40,82789,0,0,580619030,139205,Brewton-Parker College
