name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) ALAN B WHITAKER III,TRUSTEE,5,0,0,0,581357177,140951,Savannah College of Art and Design
(2) ANDRE LEON TALLEY,TRUSTEE,2,0,0,0,581357177,140951,Savannah College of Art and Design
(3) CHAN LAI WA,TRUSTEE,2,0,0,0,581357177,140951,Savannah College of Art and Design
(4) NANCY HERSTAND,TRUSTEE,2,0,0,0,581357177,140951,Savannah College of Art and Design
(5) PHARRIS JOHNSON,TRUSTEE,2,0,0,0,581357177,140951,Savannah College of Art and Design
(6) ROBERT L NARDELLI,TRUSTEE,2,0,0,0,581357177,140951,Savannah College of Art and Design
(7) SALLY WARANCH RAJCIC,TRUSTEE,2,0,0,0,581357177,140951,Savannah College of Art and Design
(8) STUART SAUNDERS,TRUSTEE,2,0,0,0,581357177,140951,Savannah College of Art and Design
(9) PAULA S WALLACE 6O,PRESIDENT,00,2194817,0,776808,581357177,140951,Savannah College of Art and Design
(10) JEFFREY J WALLER,"TREASURER, VP FINANCIAL GROWTH",50,190070,0,17131,581357177,140951,Savannah College of Art and Design
(11) JOHN T WHALEY,CHIEF FINANCIAL OFFICER,50,58277,0,1297,581357177,140951,Savannah College of Art and Design
(12) CARMEN M STOWERS,SECRETARY,50,161673,0,16483,581357177,140951,Savannah College of Art and Design
(13) BRADFORD GRANT,VP FOR INFORMATION TECHNOLOGY,50,179840,0,19966,581357177,140951,Savannah College of Art and Design
(14) MAUREEN GARVIN,"DEAN, FOUNDATION STUDIES",50,164269,0,12315,581357177,140951,Savannah College of Art and Design
(15) LESLEY C HANAK,VP FOR HUMAN RESOURCES,50,248364,0,14072,581357177,140951,Savannah College of Art and Design
(16) PHILIP J ALLETTO,VP FOR STUDENT SUCCESS,50,246935,0,24313,581357177,140951,Savannah College of Art and Design
VP FOR STUDENT SUCCESS,"X 255,684 26,558",,50,00,0,581357177,140951,Savannah College of Art and Design
(17) SCOTT LINZEY,VP FOR STUDENT FINANCIAL SVCS,50,255684,0,26558,581357177,140951,Savannah College of Art and Design
(18) TERESA M GRIFFIS,VP — SCAD ATLANTA,50,204956,0,14074,581357177,140951,Savannah College of Art and Design
(20) GLENN E WALLACE,SVP FOR COLLEGE RESOURCES,50,416705,0,16134,581357177,140951,Savannah College of Art and Design
(21) ANDREW W FULP,VP FOR EDUCATIONAL TECHNOLOGY,50,178150,0,22976,581357177,140951,Savannah College of Art and Design
(22) CHRISTIAN B SO'I'TILE,"DEAN, SCHOOL OF BLDG ARTS",50,300137,0,7252,581357177,140951,Savannah College of Art and Design
(23) JOHN PAUL ROWAN,VP FOR STRATEGY & INNOVATION,50,234580,0,25468,581357177,140951,Savannah College of Art and Design
(24) KARI HERRIN,VP FOR CREATIVE DIRECTION,50,230791,0,24217,581357177,140951,Savannah College of Art and Design
(25) MICHAELJ FINK,"DEAN, SCHOOL OF FASHION",50,195366,0,13457,581357177,140951,Savannah College of Art and Design
(26) DR TARAS DANYLUK,COO AND FORMER TRUSTEE,50,112510,0,2708,581357177,140951,Savannah College of Art and Design
(27) JOSEPH P MANORY,CHIEF FINANCIAL OFFICER,50,283030,0,6076,581357177,140951,Savannah College of Art and Design
(28) BRIAN F MURPHY,COO,50,331725,0,0,581357177,140951,Savannah College of Art and Design
"CLAYCO INC, INNERBELT BUSINESS CENTER DRIV ST LOUIS MO CONSTRUCTION 6,817,113","BON APPETl'T MANAGEMENT COMPANY, YORKMONT ROAD CHARLOTTE NC FOOD SERVICE 4,173,181",2199,724,5090239,0,581357177,140951,Savannah College of Art and Design
"URBAN CAMPUS ENVIRONMENTS LLC, 20TH AVENUE SAINT PETERSBURG FL33704 LANDLORD 5,090,239","ALLIED BARTON SECURITY SERVICES, PO BOX PHILADELPHIA PA SECURITY 3,250,685",724,2400,28217,4173181,581357177,140951,Savannah College of Art and Design
"BON APPETl'T MANAGEMENT COMPANY, YORKMONT ROAD CHARLOTTE NC FOOD SERVICE 4,173,181","THE PINYAN COMPANY, DRAYTON STREET SAVANNAH GA CONSTRUCTION 2,700,588",2400,828854,19182,3250685,581357177,140951,Savannah College of Art and Design
