name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
BYRD BONNER ESQUIRE,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
JACOB F BRYAN IV,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
JUDGE PRINCE CARTWRIGHT,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
AUDLEY COAKLEY,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
JOYCE CUSACK,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
DR ROBERT M GIBBS,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
LARRY R HANDFIELD ESQUIRE,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
JOHN WESLEY HARRINGTON,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
DOROTHYE HENDERSON,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
WILLIAM E HOGAN II,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
KEVIN M JAMES SR,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
IRVING J MATTHEWS,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
JOHNNY LMCCRAYJR,TRUSTEE EMERITI,000,0,0,0,590704726,132602,Bethune-Cookman University
JOYCE ODONGO,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
JOE PETROCK,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
LEE E RHYANT,TRUSTEE EMERITI,0,0,0,0,590704726,132602,Bethune-Cookman University
MADELINE SCALES—TAYLOR,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
TIMOTHY WALKER,TRUSTEE EMERITI,0,0,0,0,590704726,132602,Bethune-Cookman University
ETIENNE R ET WINZER,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
EUGENE ZIMMERMAN,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
NELSON L ADAMS,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
WILLIAM S BARNES,TRUSTEE EMERITI,0,0,0,0,590704726,132602,Bethune-Cookman University
ROBERT L BILLINGSLEA,TRUSTEE,0,0,0,0,590704726,132602,Bethune-Cookman University
