name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) OLEN E BRITNELL,Director,1,0,0,0,590737882,133809,Florida College
(2) DANIEL N BURTON,Director,1,0,0,0,590737882,133809,Florida College
(3) J BRADLEY CAVENDER,Director,1,0,0,0,590737882,133809,Florida College
(4) LARRY R COFFEY,Secretary/Direc,1,0,0,0,590737882,133809,Florida College
(5) S CRAIG HODGES,Director,1,0,0,0,590737882,133809,Florida College
(6) DAVID M COOPER,Chainnan/Direct,1,0,0,0,590737882,133809,Florida College
(7) JOSEPH P HAMMONTREE,Director,1,0,0,0,590737882,133809,Florida College
(8) A WALLACE HAYES,Director,1,0,0,0,590737882,133809,Florida College
(9) PHILIP E FORD,Director,1,0,0,0,590737882,133809,Florida College
(10) R DAVID CARROZZA,Director,1,0,0,0,590737882,133809,Florida College
(11) DANNY L LITI'ELL,Director,1,0,0,0,590737882,133809,Florida College
(12) KEVIN E HYDE,Director,1,0,0,0,590737882,133809,Florida College
(13) CHARLES F NOWLIN SR,TREASURER/DIREC,1,0,0,0,590737882,133809,Florida College
(14) TIM A SLONE,Director,1,0,0,0,590737882,133809,Florida College
(15) STEPHEN T WILSHER,Director,1,0,0,0,590737882,133809,Florida College
(16) WILLIAM T SMITH,Director,1,0,0,0,590737882,133809,Florida College
(17) LEE M HASTINGS,Director,1,0,0,0,590737882,133809,Florida College
(18) DOUGLAS H NORTHCU'I'I',Vice PreSIdent,40,66733,0,0,590737882,133809,Florida College
(19) HARRY E PAYNE JR,PreSIdent,40,146199,0,0,590737882,133809,Florida College
(20) RONALD STACKPOLE,CBO,40,85159,0,0,590737882,133809,Florida College
