name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) DiWesley C McClure,Pres (Deceased),50,240542,0,0,620570060,220598,Lane College
(2) Mr Harold Byrd,Trustee,5,0,0,0,620570060,220598,Lane College
(3) Dr Bryan L Champion,Trustee,5,0,0,0,620570060,220598,Lane College
(4) Dr Tyrone DaVIS,Trustee,5,0,0,0,620570060,220598,Lane College
(5) Ms Tisa Day,Trustee,5,0,0,0,620570060,220598,Lane College
(6) Bishop Thomas L Brown SR,Vice Chariman,5,0,0,0,620570060,220598,Lane College
(7) Dr Jacqueline Burton,Trustee,5,0,0,0,620570060,220598,Lane College
(8) Ms Jesse N Carpenter,Trustee,5,0,0,0,620570060,220598,Lane College
(9) DrCannichael Crutchfield,Trustee,5,0,0,0,620570060,220598,Lane College
(10) Dr LOUIS E Cunningham,Director,5,0,0,0,620570060,220598,Lane College
(11) Dr Phedonia J Johnson,Trustee,5,0,0,0,620570060,220598,Lane College
(12) Dr Warner Dickerson,Trustee,5,0,0,0,620570060,220598,Lane College
(13) Bishop William H Graves,Trustee,5,0,0,0,620570060,220598,Lane College
(14) Rev William Gant,Trustee,5,0,0,0,620570060,220598,Lane College
(15) Dr William E George,Director,5,0,0,0,620570060,220598,Lane College
(16) Dr TeqUIla Harris,Trustee,5,0,0,0,620570060,220598,Lane College
(17) Dr Mose Y Brooks Hooks,Trustee,5,0,0,0,620570060,220598,Lane College
(18) Dr Satish MahaJan,Faculty Rep,5,0,0,0,620570060,220598,Lane College
(19) CALVIN WALKER,Student Rep,5,0,0,0,620570060,220598,Lane College
(20) Bishop Lawrence L Reddick III,Chairman,5,0,0,0,620570060,220598,Lane College
(21) Rev Charles E Winfrey Jr,Secretary,5,0,0,0,620570060,220598,Lane College
(22) MrJesse J Tyson,Trustee,5,0,0,0,620570060,220598,Lane College
"CYNTHIA MANUEL INDUSTRIAL P BOX PINSON TN CLEANING SERVICES 2,238,255","GOLDEN CIRCLE INSURANCE P BOX BROWNSVILLE TN P & C INSURANCE 284,446",0,82,30303,1734978,620570060,220598,Lane College
"GOLDEN CIRCLE INSURANCE P BOX BROWNSVILLE TN P & C INSURANCE 284,446","OSEMAN INSURANCE AGENCY POPLAR SUITE GERMANTOWN TN INSURANCE 312,069",0,245,38301,121285,620570060,220598,Lane College
