name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
OWEN BAILEY,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
LINDSEY BONEY,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
DAVID CONNER,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
GABI CONSTANTINE,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
KAMAL CONSTANTINE,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
JAMES DANIEL,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
MARTIN DORSETT,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
PAT DORSETT,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
DAPHNE PILOT FONDE,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
RICHARD GAAL,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
J DAVID GREENE,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
TERRY HARBIN,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
KENNY HARRIS,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
DAVID HOLCOMBE,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
RONNIE HOLLADAY,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
JIM HOLLAND,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
BILL INGRAM,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
DAVID JOHNSON,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
BILL LUCAS,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
JAMES MASSEY,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
ROBERT MAXWELL,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
ROGER MCCONNELL,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
ROBERT MCGINLEY,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
DEBORAH NELSON,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
WILL PHILLIPS,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
TOMMY ROBINSON,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
ROBERT SEABORN JR,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
MIKELL SPEAKS,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
MIKE TEW,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
JAMES WEST,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
KEVIN WILBURN,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
FRED WILSON,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
BOBBY WOJOHN,TRUSTEE,30,0,0,0,630417508,101693,University of Mobile
MARK FOLEY,PRESIDENT,40,208747,0,22286,630417508,101693,University of Mobile
STEVE LEE,VICE PRES FOR BUSINESS AFF,40,115359,0,16966,630417508,101693,University of Mobile
AUDREY EUBANKS,VICE PRES FOR ACADEMIC AFF,40,116525,0,15530,630417508,101693,University of Mobile
KIM LEOUSIS,VICE PRES FOR ENROLLMENT M,40,105060,0,13364,630417508,101693,University of Mobile
