name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Margaret Donnan,Trustee,5,0,0,0,710236897,107080,Hendrix College
Randy Wilbourn,Trustee,5,0,0,0,710236897,107080,Hendrix College
Judge William R Wilson,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr Henry Neely,Trustee,5,0,0,0,710236897,107080,Hendrix College
Dr Joseph Bates,Trustee,5,0,0,0,710236897,107080,Hendrix College
Ms Jo Ann Biggs,Trustee,5,0,0,0,710236897,107080,Hendrix College
DaVId Knight,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr Allen McGee,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr R Madison Murphy,Trustee,5,0,0,0,710236897,107080,Hendrix College
Dr Larry Pearce,Trustee,5,0,0,0,710236897,107080,Hendrix College
Martin Rhodes,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr Albert Braunfisch,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mrs Elizabeth Small,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend VIc Nixon,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend Roy P Smith,Trustee,5,0,0,0,710236897,107080,Hendrix College
Dr Russell Wood,Trustee,5,0,0,0,710236897,107080,Hendrix College
Theo Bunting,Trustee,5,0,0,0,710236897,107080,Hendrix College
Paul Craig,Trustee,5,0,0,0,710236897,107080,Hendrix College
Roger King,Trustee,5,0,0,0,710236897,107080,Hendrix College
Dr Michael Maling,Trustee,5,0,0,0,710236897,107080,Hendrix College
Ms Julia P Mobley,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr Charles D Morgan,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr Terry Joe TIcey,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mrs Ruth H Bernabe,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr Bracken Darrell,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend William B Smith,Trustee,5,0,0,0,710236897,107080,Hendrix College
Dr Charles Chappell,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr William H Wilcox,Trustee,5,0,0,0,710236897,107080,Hendrix College
Rev Ellen Alston,Trustee,5,0,0,0,710236897,107080,Hendrix College
Dr Joe Hollyfield,Trustee,5,0,0,0,710236897,107080,Hendrix College
Mr Walter Owen Pryor,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend Pamela J Estes,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend DaVId M Fleming,Trustee,5,0,0,0,710236897,107080,Hendrix College
Dr Hayden H Franks,Trustee,5,0,0,0,710236897,107080,Hendrix College
Jan N Hundley,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend J Mark McDonald,Trustee,5,0,0,0,710236897,107080,Hendrix College
Bishop Gary Mueller,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend Deidre Roberts,Trustee,5,0,0,0,710236897,107080,Hendrix College
Reverend G Mackey Yokem,Trustee,5,0,0,0,710236897,107080,Hendrix College
Larry T Wilson,Trustee,5,0,0,0,710236897,107080,Hendrix College
Robert L Entzminger,Provost and Dean of the College,40,176490,0,0,710236897,107080,Hendrix College
DaVId HInson,Chief Information Officer,40,158920,0,0,710236897,107080,Hendrix College
Frank Cox,EVP of Communications,40,147223,0,0,710236897,107080,Hendrix College
Jim WIltgen,Vice PreSIdent for Student Affairs,40,88900,0,0,710236897,107080,Hendrix College
Ell A ld,Executive Vice PreSIdent and Dean of Institutional X 262’444,,40,0,0,710236897,107080,Hendrix College
J Timothy Cloyd,Professor,40,593569,0,0,710236897,107080,Hendrix College
Lawrence Finn,Director of Construction Development,40,149894,0,0,710236897,107080,Hendrix College
Edward F DaVIs,"CEO of Village at Hendrix, LLC",40,130213,0,0,710236897,107080,Hendrix College
KeVIn Braswell,VP of Development,40,115432,0,0,710236897,107080,Hendrix College
Joyce Hardin,Professor,40,117794,0,0,710236897,107080,Hendrix College
