name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Daryl M Allen,Trustee,1,0,0,0,741233796,228343,Southwestern University
Mary Delmore Balagia,Trustee,1,0,0,0,741233796,228343,Southwestern University
LJames Bankston,Trustee,1,0,0,0,741233796,228343,Southwestern University
Douglas M Benold,"Trustee, term March",1,0,0,0,741233796,228343,Southwestern University
Suzanne Blake,Trustee,1,0,0,0,741233796,228343,Southwestern University
W Earl Bledsoe,Trustee,1,0,0,0,741233796,228343,Southwestern University
Tim Bruster,Trustee,1,0,0,0,741233796,228343,Southwestern University
Pam Slaughter Bush,Trustee,1,0,0,0,741233796,228343,Southwestern University
John Curry,Trustee,5,0,0,0,741233796,228343,Southwestern University
James E Dorff,Trustee,1,0,0,0,741233796,228343,Southwestern University
Robert W Dupuy,Trustee,1,0,0,0,741233796,228343,Southwestern University
Thomas A Forbes,"Trustee, term March",1,0,0,0,741233796,228343,Southwestern University
Jack Garey,Trustee,1,0,0,0,741233796,228343,Southwestern University
Roberto L Gomez,Trustee,1,0,0,0,741233796,228343,Southwestern University
Robert H Graham,Trustee,1,0,0,0,741233796,228343,Southwestern University
Kay Granger,Trustee,1,0,0,0,741233796,228343,Southwestern University
Larry J Haynes,Trustee,1,0,0,0,741233796,228343,Southwestern University
Ronald D Henderson,Trustee,1,0,0,0,741233796,228343,Southwestern University
Janice Riggle HUle,Trustee,1,0,0,0,741233796,228343,Southwestern University
Jean Janssen,Trustee,1,0,0,0,741233796,228343,Southwestern University
Henry C Joyner,Trustee & Vice Chair,1,0,0,0,741233796,228343,Southwestern University
Robert W Karr,Trustee & Chair,1,0,0,0,741233796,228343,Southwestern University
Ethan Lane—Miller,"Trustee, term March",1,0,0,0,741233796,228343,Southwestern University
R Griffin Lord,Trustee & Sec/Treas,1,0,0,0,741233796,228343,Southwestern University
J Michael Lowry,Trustee,1,0,0,0,741233796,228343,Southwestern University
Red McCombs,Trustee,1,0,0,0,741233796,228343,Southwestern University
Michael McKee,Trustee,1,0,0,0,741233796,228343,Southwestern University
Mary Medley,Trustee,1,0,0,0,741233796,228343,Southwestern University
Laura A Merrill,Trustee,1,0,0,0,741233796,228343,Southwestern University
Charles R Millikan,"Trustee, term March",1,0,0,0,741233796,228343,Southwestern University
Merriman Morton,Trustee,1,0,0,0,741233796,228343,Southwestern University
Barbara Prats Neely,"Trustee, term March",1,0,0,0,741233796,228343,Southwestern University
Ernesto Nieto,Trustee,1,0,0,0,741233796,228343,Southwestern University
Austin Painchaud,Trustee,1,0,0,0,741233796,228343,Southwestern University
Steven A Raben,Trustee,1,0,0,0,741233796,228343,Southwestern University
Robert T Rork,Trustee,1,0,0,0,741233796,228343,Southwestern University
Henry A Santana,"Trustee, term March",1,0,0,0,741233796,228343,Southwestern University
Pete Sessmns,Trustee,1,0,0,0,741233796,228343,Southwestern University
Thomas V Shockley III,Trustee,1,0,0,0,741233796,228343,Southwestern University
H Blake Stanford,Trustee,1,0,0,0,741233796,228343,Southwestern University
Dan R Stultz,Trustee,1,0,0,0,741233796,228343,Southwestern University
Stephen G Tipps,Trustee,1,0,0,0,741233796,228343,Southwestern University
Donald W UndenNood,Trustee,1,0,0,0,741233796,228343,Southwestern University
James V Walzel,Trustee,1,0,0,0,741233796,228343,Southwestern University
Kathryn Yeager,Trustee,1,0,0,0,741233796,228343,Southwestern University
Edward Burger,Trustee & Pre5ident,40,194577,0,70659,741233796,228343,Southwestern University
Richard L Anderson,VP of Fiscal Affairs,40,235390,0,26066,741233796,228343,Southwestern University
C Richard McKelvey,VP Institutional Advancement,40,233632,0,27088,741233796,228343,Southwestern University
James W Hunt,Provost/Dean of Faculty,40,224292,0,23918,741233796,228343,Southwestern University
Gerald D Brody,VP of Student Life,40,163149,0,25826,741233796,228343,Southwestern University
Pamela A McQuesten,VP of Info SerVIces & CIO,40,208099,0,26471,741233796,228343,Southwestern University
Paul J Gaffney,Dean Sarofim School Fine Arts,40,145534,0,20110,741233796,228343,Southwestern University
DaVId J VOSkUII,VP Enrollment SerVIces,40,143871,0,21989,741233796,228343,Southwestern University
Craig EnNin,Associate VP of Finance,40,137372,0,19867,741233796,228343,Southwestern University
Ronald LSwain,Sr Advr—Strategic Plan&Assess,40,126427,0,70226,741233796,228343,Southwestern University
Jake B Schrum,Former Trustee & Pre5ident,0,362492,0,95710,741233796,228343,Southwestern University
