name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) Robert Kerr,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(2) Max Deethardt,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(3) Robert Kilgore,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(4) Steve Pelphrey,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(5) Sheldon Weineit,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(6) Gordon Vandermark,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(7) Jon Brower,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(8) Juan Curling,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(9) Ray Fuller,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(10) Jorge Lopez,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(11) Marty Von,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(12) EdWIn Wallan,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(13) Doug Christensen,Board Member,1,0,0,0,746066216,475185,Rio Grande Bible Institute
(14) Lawrence Windle,PreSIdent,40,51370,0,0,746066216,475185,Rio Grande Bible Institute
(15) Jonathan White,CFO,40,0,0,0,746066216,475185,Rio Grande Bible Institute
(16) John Tarwater,VP of Administration,40,0,0,0,746066216,475185,Rio Grande Bible Institute
