name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
DaVId Anderson,Chairman,0,0,0,0,750859801,224527,East Texas Baptist University
Bruce E Barnes,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
DaVId ChadWIck,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Mr Sergio A Ramos,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Don Anthis,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Dr Merilyn Sessmn,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Dan Darr,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Dan Cunningham,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Hal Cornish,Vice Chair,0,0,0,0,750859801,224527,East Texas Baptist University
DM Edwards,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Monty Pierce,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Mr DaVId Sherzer,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Gwen Estill,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Rev DaVId Rice,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Ben Raimer,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Vic Schwartz Jr,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Gene Grammer,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
James Thompson,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Dr Cary Hilliard,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Jerry Hamilton,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Susan Bush,Secretary,0,0,0,0,750859801,224527,East Texas Baptist University
Mary Fitts,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
F Wayne McWhorter,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
John D Scull,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Dr BL Shaw,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Patty Jones,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Mr Marcus L Hunt,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Susan LiVingston,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Tom Lyles,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Bill Runnels,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Jimmie Sheffield,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Margaret Unkel,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Rev DaVId Warren,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Dr Don Woolley,Trustee,0,0,0,0,750859801,224527,East Texas Baptist University
Dr Lawrence Ressler,Interim Pres,40,71363,0,5900,750859801,224527,East Texas Baptist University
Catherine Crawford,VP for Univ Adv,40,93084,0,14399,750859801,224527,East Texas Baptist University
Dr Samuel W Oliver,Pre5ident,40,235203,0,19134,750859801,224527,East Texas Baptist University
Ned Calvert,V P Admin & F,40,115553,0,9416,750859801,224527,East Texas Baptist University
