name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) Mark Amunrud,Vice Chairman,0,0,0,0,810444020,262165,Montana Bible College
(2) JEFF MACPHERSON,Director,0,0,0,0,810444020,262165,Montana Bible College
(3) GRAHAME C NICOLSON,Director,0,0,0,0,810444020,262165,Montana Bible College
(4) ARLEN TOFSLIE,Director,0,0,0,0,810444020,262165,Montana Bible College
(5) JAMY LANDIS,Director,0,0,0,0,810444020,262165,Montana Bible College
(6) JEFF BOSCHMANN,Director,0,0,0,0,810444020,262165,Montana Bible College
(7) WILLIAM GRINDER,Chairman,0,0,0,0,810444020,262165,Montana Bible College
(8) TC RICHARDSON,Director,0,0,0,0,810444020,262165,Montana Bible College
(9) KEN FENNO,Treasurer,0,0,0,0,810444020,262165,Montana Bible College
(10) JAMES H CARLSON,PreSident,40,34943,0,34436,810444020,262165,Montana Bible College
