name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) A Gary Ames,Board Chairman,4,0,0,0,910565553,236577,Seattle Pacific University
(2) Douglas D Backous,Board Vice Chair,4,0,0,0,910565553,236577,Seattle Pacific University
(3) Clyde Ballard,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(4) Ellen R M Boyer,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(5) Kathleen Cummins,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(6) Harvey Drake Jr,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(7) Becky A Gilliam,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(8) Ryan R Hamlin,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(9) V James Mann0ia,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(10) Daryl Miller,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(11) Victor C Moses,Board Treasurer,4,0,0,0,910565553,236577,Seattle Pacific University
(12) Mike S Qumn,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(13) Leslie C RUIter,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(14) Richard E Stearns,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(15) Bradley P Thoreson,Board Member,,0,0,0,910565553,236577,Seattle Pacific University
(16) Matthew H Whitehead,Board Secretary,4,0,0,0,910565553,236577,Seattle Pacific University
(17) Daniel Martin,PreSIdent,50,269326,0,89846,910565553,236577,Seattle Pacific University
(18) Craig Kispeit,VP Busmess and Finance,50,178685,0,31288,910565553,236577,Seattle Pacific University
(19) Jeffrey Van Duzer,Provost,50,213109,0,35629,910565553,236577,Seattle Pacific University
(20) Donald Mortenson,Senior VP Planning and Administration,45,251090,0,42058,910565553,236577,Seattle Pacific University
(21) Marjorie Johnson,Senior VP UniverSIty Relations,50,206778,0,35231,910565553,236577,Seattle Pacific University
(22) Thomas Box,VP Advancement to 6/30/13—SPF PreSIdent 7/1/13,47,158390,0,28667,910565553,236577,Seattle Pacific University
(23) Jeffrey Jordan,VP for Student Life,50,140784,0,56916,910565553,236577,Seattle Pacific University
(24) Bruce Congdon,Dean,40,148631,0,28557,910565553,236577,Seattle Pacific University
(25) DaVId Tindall,ASSIStant VP Technology SerVIces,40,147779,0,37791,910565553,236577,Seattle Pacific University
(26) Janet Ward,Assoc VP Information & Data Management,40,146378,0,25460,910565553,236577,Seattle Pacific University
(27) Lori Wild,Dean,40,143499,0,16202,910565553,236577,Seattle Pacific University
(28) Philip Eaton,Former PreSIdent,,398456,0,13758,910565553,236577,Seattle Pacific University
