name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
(1) MARK REDAL,CHAIRMAN,1,0,0,0,911559533,443049,Faith Evangelical College & Seminary
(2) PAUL REDAL,TREASURER,1,0,0,0,911559533,443049,Faith Evangelical College & Seminary
(3) KYLE CREWS,SECRETARY,1,0,0,0,911559533,443049,Faith Evangelical College & Seminary
(4) REV DR WILLIAM WOLFSON,BOARD MEMBER,1,2350,0,0,911559533,443049,Faith Evangelical College & Seminary
(5) REV SCO'I'I' NELSON,BOARD MEMBER,1,0,0,0,911559533,443049,Faith Evangelical College & Seminary
(6) REV JAMES ELMORE,BOARD MEMBER,1,0,0,0,911559533,443049,Faith Evangelical College & Seminary
(7) REV DR MICHAELJ ADAMS,PRESIDENT,45,119062,0,14250,911559533,443049,Faith Evangelical College & Seminary
(8) KARL ZE'I'I'ERBERG,BOARD MEMBER,1,0,0,0,911559533,443049,Faith Evangelical College & Seminary
(9) REV DR KYU HYUN LEE,DEAN OF KOREAN DIVISION,45,62566,0,17275,911559533,443049,Faith Evangelical College & Seminary
(10) REV DR JAMES GIBSON,DEAN OF STUDENTS,45,64999,0,0,911559533,443049,Faith Evangelical College & Seminary
