name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Konrad Alt '81,Trustee,5,0,0,0,930386908,209922,Reed College
John D Bergholz '83,Trustee,1,0,0,0,930386908,209922,Reed College
Matthew P Bergman '84,Trustee,1,0,0,0,930386908,209922,Reed College
TImothy Boyle,Trustee,1,0,0,0,930386908,209922,Reed College
M Jane Buchan,Trustee,1,0,0,0,930386908,209922,Reed College
Suzanne CaSSIdy MD '65,Trustee,1,0,0,0,930386908,209922,Reed College
RIchard J DanZIg '65,Trustee,1,0,0,0,930386908,209922,Reed College
Kurt D Delbene '62,Trustee,1,0,0,0,930386908,209922,Reed College
Donald Engelman '62,Trustee,1,0,0,0,930386908,209922,Reed College
Jody Hoffer GIttel '84,Trustee,1,0,0,0,930386908,209922,Reed College
DanIel B Greenberg '62,Trustee,1,0,0,0,930386908,209922,Reed College
DennIs Henner,Trustee,1,0,0,0,930386908,209922,Reed College
LInda G Howard '70,Trustee,1,0,0,0,930386908,209922,Reed College
Jay M Hubert '66,Trustee,1,0,0,0,930386908,209922,Reed College
George M James '77,Trustee,1,0,0,0,930386908,209922,Reed College
Jeffrey L Kenner,Trustee,1,0,0,0,930386908,209922,Reed College
Anna Hayes LeVIn,Trustee,1,0,0,0,930386908,209922,Reed College
Alex J MartInez '73,Trustee,1,0,0,0,930386908,209922,Reed College
LInda H Matthews '67,Trustee,1,0,0,0,930386908,209922,Reed College
MIchael R Mercy M D '87,Trustee,1,0,0,0,930386908,209922,Reed College
Sandra E MIntz,Trustee,1,0,0,0,930386908,209922,Reed College
Peter Norton '65,Trustee,1,0,0,0,930386908,209922,Reed College
Margaret HIll Noto '75,Trustee—Secretary,1,0,0,0,930386908,209922,Reed College
Eduardo Ochoa '73,Trustee,1,0,0,0,930386908,209922,Reed College
Roger M Perlmutter '73,Trustee—Chalman,1,0,0,0,930386908,209922,Reed College
John P Sheehy '82,Trustee,1,0,0,0,930386908,209922,Reed College
AlIce LarkIn SteIner '74,Trustee,1,0,0,0,930386908,209922,Reed College
Georges C St Laurent Jr,Trustee,1,0,0,0,930386908,209922,Reed College
Peter C Stockman '77,Trustee,1,0,0,0,930386908,209922,Reed College
HarrIett Tee Taggart,Trustee,1,0,0,0,930386908,209922,Reed College
RIchard H Wollenberg '75,Trustee—VIce ChaIrman,1,0,0,0,930386908,209922,Reed College
MarCIa Yaross '73,Trustee,1,0,0,0,930386908,209922,Reed College
John R Kroger,PreSIdent,40,381690,23262,0,930386908,209922,Reed College
Edwm O McFarlane,VP/Treasurer,40,251748,32499,0,930386908,209922,Reed College
Hugh Porter,VP/College RelatIons,40,260771,39466,0,930386908,209922,Reed College
PatrIck G McDougal,VP/Dean of the Faculty,40,134890,18960,0,930386908,209922,Reed College
MIchael Brody,VP & Dean of Student SerVIces,40,176376,31129,0,930386908,209922,Reed College
NIgelJ NIcholson,Dean of the Faculty,40,176156,30015,0,930386908,209922,Reed College
LorraIne ArVIn,VP and Treasurer,40,0,0,0,930386908,209922,Reed College
MartIn RIngle,ChIef Tech Ofﬁcer,40,172453,23265,0,930386908,209922,Reed College
KeIth Todd,Dean of AdmISSIOn,40,166648,24291,0,930386908,209922,Reed College
Jan E Kurtz,DIrector of Development,40,149241,24285,0,930386908,209922,Reed College
LIsa M SteInman,Professor,40,147207,23812,0,930386908,209922,Reed College
Tracy L Frantel,Controller,40,146559,23456,0,930386908,209922,Reed College
ColIn S DIver,Former PreSIdent,0,210634,27378,0,930386908,209922,Reed College
