name,title,hours,salary1,salary2,salary3,fein,unitid,institutionname
Mr Joseph B Allegretti,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev Jeffrey LAllison CSC,Trustee,40,39270,0,9209,930401259,209825,University of Portland
Mr Thomas D Arndorfer,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Richard Baek,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Ralph G Bliquez,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr John G Block,Trustee,1,0,0,0,930401259,209825,University of Portland
Mrs Mary R Boyle,Trustee,1,0,0,0,930401259,209825,University of Portland
Mrs Nancy K Bryant,Trustee,1,0,0,0,930401259,209825,University of Portland
Mrs Annie T Buell,Trustee,1,0,0,0,930401259,209825,University of Portland
Ms Catherine DaVId Buley,Trustee,1,0,0,0,930401259,209825,University of Portland
Ms Sarah N Carroll,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Matthew W Chapman,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Earle M Chiles,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Kevm M Cooper,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Russell E Danielson,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Frank D Dulcich,Trustee,1,0,0,0,930401259,209825,University of Portland
Ms Amy Dundon—Berchtold,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev Carl F Ebey CSC,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Patrick J Fennessy,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Robert W Franz,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Mark B Ganz,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev Peter A Jarret CSC,Trustee,1,0,0,0,930401259,209825,University of Portland
Ms Patricia K Johnson,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Charles Keller,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Kasey Keller,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Patrick H Ke55i,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev James R Lackenmier CSC,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Keith R Larson,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev William Lies CSC,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr D Allen Lund,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev Edward A Malloy CSC,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Ralph Miller,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Timothy J Morgan,Trustee,1,0,0,0,930401259,209825,University of Portland
MrJames P Murphy,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev Thomas O'Hara CSC,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr James T Price,Trustee,1,0,0,0,930401259,209825,University of Portland
Mrs Larree M Renda,Trustee,1,0,0,0,930401259,209825,University of Portland
Dr Don V Romanaggi,Trustee,1,0,0,0,930401259,209825,University of Portland
Rev John Ryan CSC,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Stephen L Shepard,Trustee,1,0,0,0,930401259,209825,University of Portland
Ms Milann Siegfried,Trustee,1,0,0,0,930401259,209825,University of Portland
Ms Darlene Shiley,Trustee,1,0,0,0,930401259,209825,University of Portland
Ms Kay Dean Toran,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Ted R Winnowski,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Eugene J Wizer,Trustee,1,0,0,0,930401259,209825,University of Portland
Mr Darryl P Wong,Trustee,1,0,0,0,930401259,209825,University of Portland
Dr Carolyn Y W00,Trustee,1,0,0,0,930401259,209825,University of Portland
