name,title,hours,salary1,salary2,salary3
ROBERT A BROWN,PRESIDENT,55,930409,0,532785
STEPHEN M BRADY,TRUSTEE (AS OF 6/01/14) & PROF,55,136364,0,31468
KATHERYN PFISTERER DARR,TRUSTEE (UNTIL 5/30/14) & PROF,55,129326,0,16494
ROBERT A KNOX,CHAIRMAN,3,0,0,0
JOHN P HOWE III,VICE CHAIRMAN,3,0,0,0
J KENNETH MENGES JR,VICE CHAIRMAN,3,0,0,0
RICHARD D COHEN,TRUSTEE,3,0,0,0
JONATHAN R COLE,TRUSTEE,3,0,0,0
DAVID F D'ALESSANDRO,TRUSTEE,3,0,0,0
RICHARD B DEWOLFE,TRUSTEE UNTIL 09/19/2013,3,0,0,0
KENNETH J FELD,TRUSTEE,3,0,0,0
SIDNEY J FELTENSTEIN,TRUSTEE,3,0,0,0
RYAN K ROTH GALLO,TRUSTEE AS OF 09/19/2013,3,0,0,0
RONALD G GARRIQUES,TRUSTEE,3,0,0,0
RICHARD C GODFREY,TRUSTEE,3,0,0,0
BAHAA R HARIRI,TRUSTEE,3,0,0,0
ROBERTJ HILDRETH,TRUSTEE,3,0,0,0
STEPHEN R KARP,TRUSTEE,3,0,0,0
CLEVE L KILLINGSWORTH JR,TRUSTEE,3,0,0,0
ELAINE B KIRSHENBAUM,TRUSTEE,3,0,0,0
ANDREW R LACK,TRUSTEE,3,0,0,0
ERIC S LANDER,TRUSTEE UNTIL 09/19/2013,3,0,0,0
ALAN M LEVENTHAL,TRUSTEE,3,0,0,0
PETER J LEVINE,TRUSTEE AS OF 09/19/2013,3,0,0,0
CARLA E MEYER,TRUSTEE,3,0,0,0
JORGE MORAN,TRUSTEE AS OF 09/19/2013,3,0,0,0
ALICIA C MULLEN,TRUSTEE,3,0,0,0
PETER T PAUL,TRUSTEE,3,0,0,0
CA LANCE PICCOLO,TRUSTEE,3,0,0,0
STUART W PRATT,TRUSTEE,3,0,0,0
ALLEN QUESTROM,TRUSTEE,3,0,0,0
RICHARD D REIDY,TRUSTEE,3,0,0,0
SHARON G RYAN,TRUSTEE,3,0,0,0
RICHARD C SHIPLEY,TRUSTEE,3,0,0,0
HUGO X SHONG,TRUSTEE,3,0,0,0
BIPPY M SIEGAL,TRUSTEE,3,0,0,0
NINA C TASSLER,TRUSTEE,3,0,0,0
ANDREA LTAYLOR,TRUSTEE,3,0,0,0
STEPHEN M ZIDE,TRUSTEE,3,0,0,0
MARTIN J HOWARD,"SR VP, CFO, & TREASURER",55,444243,0,58564
TODD LC KLIPP,"SR VP, SR COUNSEL, & SECRETARY",55,604444,0,61367
JEAN MORRISON,UNIVERSlTY PROVOST,55,588665,0,194564
KAREN H ANTMAN,MEDICAL CAMPUS PROVOST,55,737406,0,34802
GARY W NICKSA,SR VP FOR OPERATIONS,55,430462,0,62172
JEFFREY SPIEGEL,PROFESSOR & PHYSICIAN,,0,1906220,401905
TONY TANNOURY,PROFESSOR & PHYSICIAN,,0,1429069,54413
CLARISSA HUNNEWELL,CHIEF INVESTMENT OFFICER,55,940962,0,34763
WILLIAM CREEW,PROFESSOR & PHYSICIAN,,0,901773,59513
JOSEPH P MERCURIO,EXECUTIVE VP (RETIRED),0,818864,0,26281
DAVID CAMPBELL,FORMER PROVOST,40,423944,0,59498
