name,title,hours,salary1,salary2,salary3
ANNE T BASS,TRUSTEE,4,0,0,0
JACK O BOVENDER JR,TRUSTEE,6,0,0,0
RICHARD H BRODHEAD,TRUSTEE/PRESIDENT,50,1093650,0,194315
GREGORY MALIK BURNETT,TRUSTEE,2,0,0,0
PAULA CROWN,TRUSTEE,2,0,0,0
KAVEH DANESH,TRUSTEE,2,0,0,0
ALLYSON K DUNCAN,TRUSTEE,2,4500,0,0
RALPH EADS,TRUSTEE,2,0,0,0
FRANK E EMORY JR,TRUSTEE,4,0,0,0
PAUL E FARMER,TRUSTEE,2,0,0,0
ROBIN A FERRACONE,TRUSTEE,4,0,0,0
GAO XIQING,TRUSTEE,4,0,0,0
EDWARD A GILHULY,TRUSTEE,4,0,0,0
THOMAS M GORRIE,TRUSTEE,4,0,0,0
GERALD HASSELL,TRUSTEE,6,0,0,0
WILLIAM HAWKINS,TRUSTEE,4,0,0,0
JANET HILL,TRUSTEE,3,0,0,0
BETSY D HOLDEN,TRUSTEE,2,0,0,0
JEFFREY C HOWARD,TRUSTEE,6,0,0,0
PETER J KAHN,TRUSTEE,2,0,0,0
BRUCE KARSH,TRUSTEE,4,0,0,0
ELIZABETH KISS,TRUSTEE,2,0,0,0
MARGUERITE W KONDRACKE,TRUSTEE,2,0,0,0
MICHAEL MARSICANO,TRUSTEE,6,0,0,0
MARTHA MONSERRATE,TRUSTEE,2,0,0,0
CLARENCE G NEWSOME,TRUSTEE,2,0,0,0
STEPHEN G PAGLIUCA,TRUSTEE,10,0,0,0
ROBERT R PENN,TRUSTEE,2,0,0,0
CARMICHAEL ROBERTS,TRUSTEE,2,0,0,0
DAVID M RUBENSTEIN,TRUSTEE,6,0,0,0
ALAN D SCHWARTZ,TRUSTEE,5,0,0,0
MICHELLE SOHN,TRUSTEE,2,0,0,0
LAURENE M SPERLING,TRUSTEE,4,0,0,0
SUSAN M STALNECKER,TRUSTEE,6,0,0,0
ASHLEY CROWDER STANLEY,TRUSTEE,2,0,0,0
JEFFERY N VINIK,TRUSTEE,1,0,0,0
HOPE MORGAN WARD,TRUSTEE,2,0,0,0
PAMELAJ BERNARD,VP & UNIVERSITY COUNSEL,35,471060,0,72428
VICTOR J DZAU,CHANCELLOR HEALTH AFFAIRS,40,2040018,0,732795
PETER LANGE,PROVOST,65,599341,26000,38503
RICHARD RIDDELL,VP & UNIVERSITY SECRETARY,60,325692,0,44815
TALLMAN TRASK III,EXECUTIVE VICE PRESIDENT,60,620774,0,74294
NANCY CATHERINE ANDREWS,VICE CHAN OF ACADEMIC AFFAIRS,40,742900,0,82236
WILLIAM BOULDING,"DEAN, FUQUA SCHOOL OF BUSINESS",75,497265,0,45667
ROBERT M CALIFF MD,VICE CHAN FOR CLINICAL RESEARCH,40,513548,0,46600
JAM ES SCOTI' GIBSON,"EXEC VICE DEAN OF ADMIN, SOM",60,553885,0,52947
"EXEC VICE DEAN OF ADMIN, SOM","X 979,712 112,166",2,40,00,0
ALICE GOULD,INVESTMENT MANAGER,40,979712,0,112166
ANDERS HALL,INVESTMENT MANAGER,40,829201,0,40225
JOHN J NOONAN,ASSOCIATE VP OF FACILITIES,50,296003,0,85274
ERIC PETERSON,"DIRECTOR, DCRI",80,437989,0,61002
JAMES S ROBERTS,EXEC VICE—PROVOST FIN & ADMIN,38,333284,0,38503
NEAL TRIPLETT,CHIEF INVESTMENT OFFICER,40,2577433,0,296792
DAVID N CUTCLIFFE,COACH,40,1992685,0,50919
MICHAEL B KASTAN,"EXEC DIRECTOR, CANCER INSTITUTE",40,903712,0,43999
JOANNE MCCALLIE,COACH,40,943268,0,52476
KEVIN M WHITE,VP & DIRECTOR OF ATHLETICS,40,896100,0,51054
ALVIN L CRUMBLISS,FORMER KEY EMPLOYEE,40,205097,0,34111
