name,title,hours,salary1,salary2,salary3
organizations g E 3» go and related,line) E g ES 55':,,0,0,0
(1) Michael Andry .,(2) Short Norris .,1,0,0,0
(2) Short Norris .,(3) Pat: Carver .,1,0,0,0
(3) Pat: Carver .,(4) Michael Greene .,1,0,0,0
(4) Michael Greene .,(5) Kevin Watson u,1,0,0,0
(5) Kevin Watson u,(6) John Wirtz 1.00,1,0,0,0
(6) John Wirtz 1.00,(7) Brad Blackburn .,,0,0,0
(7) Brad Blackburn .,———(‘8 l—DeTek—Al‘i en -‘1’.0'0'- #,1,7,0,0
(9) Mitchell Watson o,(10) Marilyn Foote—Hudeon .,1,0,0,0
(10) Marilyn Foote—Hudeon .,(11) Kerry Friedman .,1,0,0,0
(11) Kerry Friedman .,(12) Brian Gompers .,1,0,0,0
(12) Brian Gompers .,(13) Jacqueline D. Grant .,1,0,0,0
(13) Jacqueline D. Grant .,(14) Steven Green .,1,0,0,0
(14) Steven Green .,(15) Bruce Greene o,1,0,0,0
(15) Bruce Greene o,(16) Oscar Wong .,1,0,0,0
(16) Oscar Wong .,(17) AnnYoung 1.00,1,0,0,0
