name,title,hours,salary1,salary2,salary3
Rev Dennis H Holtschneider CM,PreSIdent and Trustee,50,792276,62168,0
James M Jenness,Trustee,1,0,0,0
William E Bennett,Trustee,1,0,0,0
Fr Thomas Anslow CM,Trustee,1,0,0,0
Peter C Argianas,Trustee,1,0,0,0
Karen M Atwood,Trustee,1,0,0,0
Gerald A Beeson,Trustee,1,0,0,0
John L Brennan,Trustee,1,0,0,0
Ruth W Brinkley,Trustee,1,0,0,0
Frank M Clark,Trustee,1,0,0,0
Curtis] Crawford,Trustee,1,0,0,0
Sebastian S Cualoping,Trustee,1,0,0,0
Dr Connie R Curran,Trustee,1,0,0,0
Mary A Dempsey,Trustee,1,0,0,0
Sr Margaret Mary Fitzpatrick,Trustee,1,0,0,0
Sasha L Gerritson,Trustee,1,0,0,0
Chester A Gougis,Trustee,1,0,0,0
Sue LGin,Trustee,1,0,0,0
Jack M Greenberg,Trustee,1,0,0,0
Arnold T Grisham,Trustee,1,0,0,0
Richard A Hanson,Trustee,1,0,0,0
Harry] Harczak,Trustee,1,0,0,0
William E Hay,Trustee,1,0,0,0
Dr Donald E Heller,Trustee,1,0,0,0
Lorraine Holland,Trustee,1,0,0,0
Stacy R Janiak,Trustee,1,0,0,0
Jeffrey J Kroll,Trustee,1,0,0,0
William P Kusack Jr,Trustee,1,0,0,0
Rev James] Maher CM,Trustee,1,750,0,0
Rev Thomas McKenna CM,Trustee,1,0,0,0
Carla Michelotti,Trustee,1,0,0,0
Patrick J Moore,Trustee,1,0,0,0
PeterJ Pesce,Trustee,1,0,0,0
Anne R Pramaggiore,Trustee,1,0,0,0
Rev Mark S Pranaitis CM,Trustee,1,0,0,0
Larry R Rogers Sr,Trustee,1,0,0,0
George Ruff,Trustee,1,0,0,0
James Ryan,Trustee,1,0,0,0
Bertram L Scott,Trustee,1,0,0,0
John B Simon,Trustee,1,0,0,0
John C Stanley,Trustee,1,0,0,0
Daniel C Ustian,Trustee,1,0,0,0
Dia Well,Trustee,5,0,0,0
Very Rev Raymond Van DorpeCM,Trustee,1,0,0,0
Rev John T Richardson CM,Chancellor,50,158463,0,42600
Rev Edward R UdOVIc CM,Secretary,50,287621,0,59682
Donald Pope—DaVIs,Provost,50,497283,0,18898
Patricia 0' Donoghue,Interim Provost,50,326414,0,33364
Robert L Kozoman,Executive Vice PreSIdent,50,408748,0,33364
Bonnie A Frankel,Vice Pre5ident for Finance,50,325583,0,26501
DaVId H Kalsbeek,Senior Vice Pre5ident,50,455571,0,77487
Mary C Finger,Senior Vice Pre5ident,50,335386,0,28868
Jay Braatz,Sr Exec For Pres Ops,50,245619,0,24990
Robert Jams,Vice Pres — Facility Ops,50,333220,0,70834
Cindy Summers,Int Vice Pres — Studt Affrs,50,190446,0,22960
Jose D Padilla,Vice Pres & General Counsel,50,362459,0,78416
Elizabeth F Ortiz,Vice Pres — Inst Diver5ity,50,180666,0,26249
Jeffery Bethke,Treasurer,50,237629,0,37228
Mark Hawkins,Controller until October,50,169585,0,17646
Sherri Sid ler,Interim Controller,50,147569,0,24166
Stephanie Smith,Vice Pres — Human Resources,50,270839,0,2594
Robert McCormick,Vice Pres — Info SerVIces,50,246332,0,37932
Cynthia Lawson,Vice Pres — Public Relations,50,224906,0,31086
Ray Whittington,"Dean, Dreihaus College of Bus",50,393906,0,70323
Charles Suchar,"Dean, College of LA&S",50,333087,0,33364
Gregory Mark,"Dean, Colleg of Law",50,371362,0,38253
Oliver Purnell,Men's Head Basketball Coach,50,2303721,0,24099
Doug Bruno,Women's Head Basketball Coach,50,448510,0,67925
Jean Lenti—Ponsetto,Athletics Director,50,372022,0,33364
James Shilling,Professor,50,380009,0,26168
Helmut P Epp,Provost,50,246576,0,25768
Kathy Stieber,Interim Vice Pres — HR,50,163258,0,18940
