name,title,hours,salary1,salary2,salary3
Ms Natalie A Black,Trustee,1,0,0,0
MrJohn F Ferraro,Trustee,1,0,0,0
Mr Richard J Fotsch,Trustee,1,0,0,0
Rev James G Gartland SJ,Trustee,1,0,0,0
Mr Darren R Jackson,Trustee,1,0,0,0
Mr James F Janz,Trustee,1,0,0,0
Rev Timothy R Lannon SJ,Trustee,1,0,0,0
Rev Thomas A Lawler SJ,Trustee,1,0,0,0
Mr Patrick Lawton,Trustee,5,0,0,0
MrJohn P Lynch,Trustee,1,0,0,0
Mr Alfred C McGUIre,Trustee,1,0,0,0
Ms Kelly McShane,Trustee,1,0,0,0
Dr Arnold L Mitchem,Trustee,1,0,0,0
Rev Joseph M O'Keefe SJ,Trustee,1,0,0,0
Mr James D O'Rourke,Trustee,1,0,0,0
Dr Janis M Orlowski MD MACP,Trustee,1,0,0,0
Ms Kristine A Rappe,Trustee,1,0,0,0
Mr Glenn A Rivers,Trustee,1,0,0,0
Mr Scott A Roberts,Trustee,1,0,0,0
Hon W Greg Ryberg,Trustee,1,0,0,0
Mr Scott H Schroeder,Trustee,1,0,0,0
Mr Owen J Sullivan,Trustee,1,0,0,0
Mr Charles M Swoboda,Trustee,1,0,0,0
Ms Cherryl T Thomas,Trustee,1,0,0,0
Mr Benjamin Tracy,Trustee,5,0,0,0
Ms Margaret M Troy,Trustee,1,0,0,0
Ms Rhona Vogel,Trustee,1,0,0,0
MrJames M Weiss,Trustee,1,0,0,0
Mr Thomas H Werner,Trustee,1,0,0,0
Hon James A Wynn,Trustee,1,0,0,0
Rev Michael A Zampelli SJ,Trustee,1,0,0,0
Ms Anne A Zizzo,Trustee,1,0,0,0
Rev Scott R Pilarz SJ,PreSIdent,40,157890,0,0
Rev Robert A Wild SJ,PreSIdent,40,0,0,0
Dr Margaret F Callahan,Corp Vice PreSIdent,40,291836,0,0
MrJohn C Lamb,Corp Treasurer,40,316833,0,0
Ms Mary L Austin,Corp Asst Treasurer,40,185545,0,0
Mr Steven W Frieder,Corp Secretary,40,111471,0,0
Ms Cynthia M Bauer,Corp Asst Secretary,40,227347,0,0
Dr Mary A DiStanislao,Executive Vice PreSIdent,40,233618,0,0
Mr Lawrence R Williams,Athletic Director,40,416594,0,0
Mr Thomas P Ganey,Vice PreSIdent of Planning,40,215712,0,0
Mr Brent L Williams,Mens Basketball Coach,40,2111606,0,0
Ms Terri L Mitchell,Womens Basketball Coach,40,446523,0,0
Mr Joseph D Kearney,Dean Law School,40,319935,0,0
Mr Isaac Chew,Asst Mens Basketball Coach,40,319576,0,0
Dr Robert H Bishop,Dean Engineering,40,307087,0,0
Mr Gregory J Kliebhan,Former Corp VP,,346685,0,0
Dr John J Pauly,Former Corp VP,40,275681,0,0
