name,title,hours,salary1,salary2,salary3
Peter] Barris,Trustee,1,0,0,0
John A Canning Jr,Trustee,1,0,0,0
A Steven Crown,Trustee,1,0,0,0
Richard H Dean,Trustee,1,0,0,0
Deborah L DeHaas,Trustee,1,0,0,0
Charles W Douglas,Trustee,1,0,0,0
D Cameron Findlay,Trustee,1,0,0,0
Dennis] FItzSImons,Trustee,1,0,0,0
T Bondurant French,Trustee,1,0,0,0
Christopher B GaIVIn,Trustee,1,0,0,0
J Douglas Gray,Trustee,1,0,0,0
Philip L Harris,Trustee,1,0,0,0
Jay C Hoag,Trustee,1,0,0,0
Nancy Trienens Kaehler,Trustee,1,0,0,0
Ellen Philips Katz,Trustee,1,0,0,0
Lester B Knight,Trustee,1,0,0,0
Timothy K Krauskopf,Trustee,1,0,0,0
Edward M Liddy,Trustee,1,0,0,0
J Landis Martin,Trustee,1,0,0,0
Wendy M Nelson,Trustee,1,0,0,0
William A Osborn,Trustee,1,0,0,0
Jane DIRenzo Pigott,Trustee,1,0,0,0
JB Pritzker,Trustee,1,0,0,0
M Jude Reyes,Trustee,1,0,0,0
Patrick G Ryan Jr,Trustee,1,0,0,0
Paul LSagan,Trustee,1,0,0,0
William E Sagan,Trustee,1,0,0,0
D Gideon Searle,Trustee,1,0,0,0
Andrew E Senyei MD,Trustee,1,0,0,0
Benjamin W Slivka,Trustee,1,0,0,0
Timothy P Sullivan,Trustee,1,0,0,0
Charles A TrIbbett III,Trustee,1,0,0,0
Jeffrey W Ubben,Trustee,1,0,0,0
Frederick H Waddell,Trustee,1,0,0,0
DaVId B Weinberg,Trustee,1,0,0,0
Miles D White,Trustee,1,0,0,0
Morton O Schapiro,PreSIdent,40,1029436,0,415682
Daniel I LInzer,Provost,40,608085,0,196888
Eugene Sunshine,Senior VP for Busmess,5,821021,0,93418
Mary L Baglivo,VP Global Marketing,40,77650,0,6871
Thomas G Cline,VP and General Counsel,40,522851,0,101755
Alan K Cubbage,VP UniverSIty Relations,40,261767,0,26307
Marilyn McCoy,VP for Administration,40,297022,0,41445
William H McLean,VP and Chief Investment Of,40,2462397,0,1134315
Robert E McQUInn,VP for Development,40,515782,0,80435
Eric G Neilson,VP Medical Affairs,30,697716,0,20792
JamesJ Phillips,VP Athletics,40,1277016,0,86108
Sean Reynolds,VP Information Technology,40,428176,0,31690
Patricia Telles—IrVIn,VP Student Affairs,40,377517,0,46998
Ronald Nayler,Assoc VP Facilities Mgmnt,40,351602,0,40257
Patrick W Fitzgerald,Head Coach,11,2439572,0,51286
William D Cannody,Former Head Coach,40,1600269,0,51451
Christopher R Collins,Head Coach,40,929420,0,19019
Peter A Belytschko,Investment Manager,40,948748,0,430671
John A Capelli,Investment Manager,40,881848,0,413556
Morteza A RahImI,Former VP Information Tech,40,158595,0,32872
Jeffrey Glassroth,Former Interim VP Medical,0,136936,0,25283
